cue,n_resp,resp,count
plans,29,lines,1
plans,29,paper,1
plans,29,plots,1
plans,29,ready,1
plans,29,think,1
plans,29,chart,1
plans,29,brain,1
plans,29,guide,1
plans,29,today,1
align,34,agree,8
align,34,right,4
align,34,stars,4
align,34,match,3
align,34,tires,3
align,34,close,2
align,34,words,2
align,34,angle,1
align,34,exact,1
align,34,filed,1
align,34,flush,1
align,34,frame,1
align,34,graph,1
align,34,peace,1
align,34,point,1
align,34,queue,1
align,34,round,1
align,34,scale,1
align,34,shape,1
align,34,shift,1
align,34,sight,1
swamp,39,marsh,16
swamp,39,muddy,5
swamp,39,humid,4
swamp,39,murky,3
swamp,39,gator,2
swamp,39,mucky,2
swamp,39,slimy,2
swamp,39,boggy,1
swamp,39,algae,1
swamp,39,dense,1
swamp,39,ponds,1
swamp,39,fetid,1
swamp,39,foggy,1
swamp,39,gooey,1
swamp,39,grass,1
swamp,39,hippo,1
swamp,39,fungi,1
swamp,39,mired,1
swamp,39,roots,1
swamp,39,slime,1
swoon,34,faint,43
swoon,34,dizzy,4
swoon,34,adore,2
swoon,34,crush,2
swoon,34,girls,2
swoon,34,woman,2
swoon,34,blush,1
swoon,34,catch,1
swoon,34,drool,1
swoon,34,emote,1
swoon,34,flirt,1
swoon,34,giddy,1
swoon,34,heart,1
swoon,34,lover,1
swoon,34,silly,1
swoon,34,sweep,1
swoon,34,swish,1
swoon,34,woozy,1
swoon,34,young,1
swoon,34,snogs,1
brute,20,macho,21
brute,20,bully,30
brute,20,force,8
brute,20,hairy,7
brute,20,tough,7
brute,20,brave,3
brute,20,broad,3
brute,20,rough,3
brute,20,butch,2
brute,20,chest,2
brute,20,adult,1
brute,20,bloke,1
brute,20,bossy,1
brute,20,bulky,1
brute,20,burly,1
brute,20,furry,1
brute,20,truck,1
brute,20,brawn,2
brute,20,gruff,1
brute,20,blunt,1
creep,37,crawl,21
creep,37,sneak,17
creep,37,weird,10
creep,37,scary,7
creep,37,quiet,4
creep,37,loser,3
creep,37,nasty,3
creep,37,freak,2
creep,37,angst,1
creep,37,chill,1
creep,37,clown,1
creep,37,crack,1
creep,37,crime,1
creep,37,drunk,1
creep,37,gross,1
creep,37,leech,1
creep,37,night,1
creep,37,phone,1
creep,37,plant,1
creep,37,shady,1
creep,37,slime,1
creep,37,slink,1
creep,37,snoop,1
creep,37,spook,1
creep,37,stalk,1
robes,32,gowns,6
robes,32,judge,5
robes,32,black,4
robes,32,cloth,2
robes,32,comfy,2
robes,32,cults,2
robes,32,monks,2
robes,32,towel,2
robes,32,baths,1
robes,32,capes,1
robes,32,cloak,1
robes,32,Roman,1
robes,32,sauna,1
robes,32,spear,1
robes,32,wraps,1
robes,32,togas,1
robes,32,sages,1
robes,32,warms,1
robes,32,nomad,1
robes,32,scribe,1
robes,32,wears,1
