word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
TRAY, FOIL, HIGH, 6, 1.7228, NA, NA, NA, NA
PERIOD, STIM, LOW, 6, 0.7189, -2.3803, 0.2260, -2.6063, 1.7180
ROOT, FOIL, HIGH, 4, 0.9652, NA, NA, NA, NA
GORE, FOIL, LOW, 2, 0.7935, NA, NA, NA, NA
ESCAPE, FOIL, LOW, 3, 1.8937, NA, NA, NA, NA
BAY, STIM, HIGH, 6, 1.2102, 1.7790, -0.8347, 2.6138, 0.8173
ONLY, FOIL, LOW, 6, 2.6479, NA, NA, NA, NA
TACK, STIM, HIGH, 2, 1.1198, -1.8672, 2.5492, 1.8667, 1.0008
FOLLY, STIM, LOW, 6, 0.6791, -0.8268, 1.1118, -1.9386, 0.8340
VEIN, STIM, HIGH, 6, 0.7440, 0.6395, 0.1326, 0.5069, 0.4003
LEG, FOIL, HIGH, 6, 1.7210, NA, NA, NA, NA
METIS, STIM, LOW, 6, 1.0570, -0.0400, 2.4154, -2.4554, 8.7400
CAFE, FOIL, HIGH, 2, 1.0081, NA, NA, NA, NA
RATAL, STIM, LOW, 6, 0.6239, -2.0824, 1.8398, 2.3610, 0.8506
SPIKE, STIM, HIGH, 6, 0.6213, -0.7627, -1.7497, 0.9870, 0.9507
YORE, FOIL, LOW, 2, 0.7429, NA, NA, NA, NA
JANGLE, FOIL, LOW, 2, 0.7636, NA, NA, NA, NA
HELP, FOIL, LOW, 6, 0.7399, NA, NA, NA, NA
FOURTH, STIM, LOW, 6, 0.7491, -0.9652, -0.3679, -0.5973, 1.3677
DANCER, FOIL, HIGH, 5, 1.6206, NA, NA, NA, NA
SOIL, FOIL, HIGH, 3, 1.0318, NA, NA, NA, NA
CLIFF, STIM, HIGH, 4, 0.6319, 1.8128, -0.0314, 1.8442, 0.3836
RADIO, STIM, HIGH, 5, 0.9556, 1.1357, 0.9223, 0.2133, 0.4003
BEAR, STIM, HIGH, 6, 0.7434, -1.8350, -0.8887, -0.9462, 0.4503
INSECT, FOIL, HIGH, 4, 0.8127, NA, NA, NA, NA
BRUTAL, FOIL, LOW, 3, 0.7536, NA, NA, NA, NA
LIQUID, FOIL, HIGH, 3, 0.7883, NA, NA, NA, NA
STERN, FOIL, LOW, 2, 0.4606, NA, NA, NA, NA
CAR, STIM, HIGH, 1, 0.4281, -2.0044, 2.1935, 2.0854, 2.3518
TREAT, FOIL, LOW, 6, 0.6200, NA, NA, NA, NA
DELUGE, STIM, LOW, 6, 0.5458, 0.0258, -2.8313, 2.8571, 0.7672
VIOLIN, STIM, HIGH, 6, 0.5483, 2.5274, -0.6633, -3.0924, 1.5011
WANT, STIM, LOW, 3, 1.1187, 0.9691, -0.0676, 1.0367, 0.9174
LIKE, FOIL, LOW, 1, 0.9622, NA, NA, NA, NA
GOBLET, STIM, HIGH, 6, 0.7250, 2.2755, 1.4400, 0.8355, 0.6505
TOAST, FOIL, HIGH, 3, 0.8935, NA, NA, NA, NA
KITE, STIM, HIGH, 1, 0.8633, -1.7651, -2.7244, 0.9593, 0.9174
BUBBLE, STIM, HIGH, 6, 0.7289, -2.2102, -1.1968, -1.0134, 0.2502
HEDGE, FOIL, HIGH, 6, 0.7007, NA, NA, NA, NA
AXLE, STIM, HIGH, 6, 1.6002, 0.3907, -0.2187, 0.6093, 1.0008
STONE, STIM, HIGH, 6, 1.2563, 2.2519, -2.9054, -1.1259, 0.6505
GOSPEL, FOIL, LOW, 4, 1.2268, NA, NA, NA, NA
MANTLE, FOIL, HIGH, 2, 1.5144, NA, NA, NA, NA
CASKET, FOIL, HIGH, 1, 1.1434, NA, NA, NA, NA
WON, FOIL, LOW, 6, 0.9785, NA, NA, NA, NA
ROAD, FOIL, HIGH, 3, 0.7663, NA, NA, NA, NA
STRAW, STIM, HIGH, 6, 0.8515, -1.2773, 0.1626, -1.4399, 0.7506
CORAL, STIM, HIGH, 6, 0.7915, -0.3854, -0.4885, 0.1031, 3.9530
BARN, FOIL, HIGH, 4, 1.1373, NA, NA, NA, NA
GADID, STIM, LOW, 6, 0.9009, -2.7838, -0.8694, -1.9143, 0.5337
PERRY, STIM, LOW, 6, 0.7302, -1.0196, -2.5985, 1.5789, 4.3533
RATE, FOIL, LOW, 3, 0.6573, NA, NA, NA, NA
AWEIGH, STIM, LOW, 6, 0.9695, 2.2575, 0.9799, 1.2776, 1.1008
BRUT, STIM, LOW, 3, 1.2427, -1.8430, 2.7544, 1.6858, 0.7005
FLAIR, STIM, LOW, 6, 1.0088, 1.9358, -1.9173, -2.4301, 1.0341
EMPIRE, FOIL, LOW, 3, 1.0292, NA, NA, NA, NA
TING, STIM, LOW, 6, 0.7155, 1.0691, 2.0137, -0.9445, 0.6171
CLAY, FOIL, HIGH, 6, 1.3925, NA, NA, NA, NA
CAMP, FOIL, HIGH, 1, 0.8084, NA, NA, NA, NA
FOAM, STIM, HIGH, 6, 1.1720, 0.9639, 2.1645, -1.2007, 0.4670
CLAIM, STIM, LOW, 6, 0.4956, 1.5084, 2.5406, -1.0323, 0.7005
IRONY, FOIL, LOW, 3, 0.9885, NA, NA, NA, NA
SUEDE, FOIL, HIGH, 2, 1.0837, NA, NA, NA, NA
NISUS, STIM, LOW, 6, 2.0777, -2.9837, 1.0029, 2.2966, 2.9356
EVENT, FOIL, LOW, 3, 1.0101, NA, NA, NA, NA
BEAT, STIM, LOW, 6, 1.4944, -1.2171, -0.0419, -1.1752, 1.1842
PEN, FOIL, HIGH, 3, 0.4559, NA, NA, NA, NA
STALE, FOIL, LOW, 2, 0.8258, NA, NA, NA, NA
LONE, FOIL, LOW, 1, 0.5561, NA, NA, NA, NA
DOCK, STIM, HIGH, 6, 1.1029, 1.7482, -0.3679, 2.1161, 2.2184
RATING, STIM, LOW, 6, 0.7833, -3.0696, -1.5342, -1.5354, 4.3533
ENGINE, FOIL, HIGH, 3, 0.7344, NA, NA, NA, NA
SEQUEL, FOIL, LOW, 2, 1.1090, NA, NA, NA, NA
SHOWN, STIM, LOW, 6, 0.8334, -1.2645, 0.1308, -1.3953, 1.3677
QUEAN, FOIL, LOW, 2, 1.2991, NA, NA, NA, NA
FEET, STIM, HIGH, 6, 1.0340, -3.0136, -0.2539, -2.7597, 1.0675
PLEA, FOIL, LOW, 1, 0.9344, NA, NA, NA, NA
NOW, STIM, LOW, 1, 1.4656, 1.4639, -1.8406, -2.9786, 4.5868
SOCK, STIM, HIGH, 6, 0.7140, 0.7461, 2.7313, -1.9852, 0.7005
REMEDY, STIM, LOW, 6, 1.4078, -0.7560, 0.3085, -1.0645, 0.8840
ROBIN, FOIL, HIGH, 1, 1.4988, NA, NA, NA, NA
TABLE, FOIL, HIGH, 1, 1.2006, NA, NA, NA, NA
ORNATE, STIM, LOW, 6, 1.2072, 1.7106, -3.1105, -1.4621, 0.6672
THANE, FOIL, LOW, 1, 0.9505, NA, NA, NA, NA
SISTER, STIM, HIGH, 6, 1.0009, -0.0474, 2.2091, -2.2565, 0.6505
CHAOS, STIM, LOW, 3, 1.8284, -0.1572, 2.8231, -2.9803, 0.8506
RIGHT, STIM, LOW, 4, 0.8586, 0.3611, -0.6633, 1.0245, 1.8514
HYBRID, STIM, LOW, 6, 0.8767, -0.3649, -2.8182, 2.4533, 0.5671
DOCTOR, FOIL, HIGH, 2, 1.7218, NA, NA, NA, NA
OCEAN, FOIL, HIGH, 6, 0.7995, NA, NA, NA, NA
CHANCE, STIM, LOW, 4, 0.8964, 1.6176, 0.1720, 1.4457, 0.9507
MORASS, FOIL, LOW, 1, 1.4088, NA, NA, NA, NA
WITAN, FOIL, LOW, 2, 0.8247, NA, NA, NA, NA
GRATE, FOIL, LOW, 5, 1.5343, NA, NA, NA, NA
JOLT, STIM, LOW, 6, 0.7358, -1.2157, 1.1188, -2.3345, 0.9507
KEY, FOIL, HIGH, 6, 2.3740, NA, NA, NA, NA
FOR, FOIL, LOW, 6, 0.9096, NA, NA, NA, NA
VAULT, STIM, HIGH, 6, 0.7580, -2.9797, -1.6335, -1.3462, 1.5178
GOLD, STIM, HIGH, 6, 0.7717, -1.5375, -0.5851, -0.9524, 0.1835
BRED, FOIL, LOW, 5, 2.0191, NA, NA, NA, NA
KIND, STIM, LOW, 6, 0.9134, 2.4625, 2.5086, -0.0461, 0.8173
HAS, STIM, LOW, 3, 0.7089, -1.2031, -0.0419, -1.1612, 1.3844
CHOP, STIM, HIGH, 6, 1.1905, -2.6310, -2.1892, -0.4418, 0.7005
SOUL, FOIL, LOW, 2, 0.7794, NA, NA, NA, NA
NOR, STIM, LOW, 4, 1.0553, -0.3933, -0.4473, 0.0541, 0.9674
COAL, STIM, HIGH, 6, 0.9462, 0.8043, 0.8480, -0.0438, 1.1175
BRUSH, STIM, HIGH, 6, 0.7669, -1.9780, 0.4705, -2.4484, 0.8840
CHEAT, FOIL, LOW, 1, 1.2160, NA, NA, NA, NA
RAT, FOIL, HIGH, 3, 0.8623, NA, NA, NA, NA
MOOD, STIM, LOW, 4, 0.7965, 2.8558, -2.8991, -0.5283, 0.8006
SELL, STIM, LOW, 2, 0.9162, 2.7868, -1.0322, -2.4642, 2.1516
MINNOW, FOIL, HIGH, 6, 1.3056, NA, NA, NA, NA
FUDGE, FOIL, HIGH, 6, 0.9086, NA, NA, NA, NA
SOME, FOIL, LOW, 5, 1.0712, NA, NA, NA, NA
NURSE, FOIL, HIGH, 3, 0.8223, NA, NA, NA, NA
GEESE, STIM, HIGH, 6, 0.9198, -3.0699, 1.8448, 1.3685, 0.6839
HARE, STIM, HIGH, 2, 0.8950, 0.6706, 2.9815, -2.3109, 0.6338
CEDE, FOIL, LOW, 4, 0.7472, NA, NA, NA, NA
BAG, FOIL, HIGH, 3, 0.6374, NA, NA, NA, NA
