word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
BREAD, STIM, HIGH, 6, 0.8427, -0.4276, 2.7292, 3.1264, 0.1501
MELEE, FOIL, LOW, 2, 0.7296, NA, NA, NA, NA
CASKET, STIM, HIGH, 6, 0.6094, -0.4239, 2.6077, -3.0316, 0.2669
BRONZE, FOIL, HIGH, 1, 0.6094, NA, NA, NA, NA
BYRE, STIM, LOW, 6, 0.4895, -2.8217, -1.1599, -1.6618, 0.2168
TOAD, FOIL, HIGH, 2, 1.3022, NA, NA, NA, NA
BEAU, STIM, LOW, 6, 0.9656, 1.6829, 0.4792, 1.2037, 0.4003
JACKET, STIM, HIGH, 4, 1.8311, 2.5124, 1.1639, 1.3485, 0.1501
EEL, FOIL, HIGH, 2, 0.7529, NA, NA, NA, NA
SHOWER, STIM, HIGH, 1, 1.5572, 0.5929, -2.2928, 2.8857, 0.2669
THEM, STIM, LOW, 5, 1.3997, -2.6943, -0.8132, -1.8811, 0.1168
SCOUT, FOIL, HIGH, 3, 1.0381, NA, NA, NA, NA
TOPIC, FOIL, LOW, 3, 0.9344, NA, NA, NA, NA
INSECT, FOIL, HIGH, 2, 1.3647, NA, NA, NA, NA
VILE, STIM, LOW, 6, 0.7128, -2.0267, -1.2918, -0.7350, 0.7506
BELLE, FOIL, LOW, 6, 0.5047, NA, NA, NA, NA
PLANT, STIM, HIGH, 5, 1.2488, -2.8355, -0.1674, -2.6680, 0.1835
HEART, FOIL, HIGH, 3, 0.9547, NA, NA, NA, NA
LOAN, STIM, LOW, 6, 0.8720, 1.2395, 2.0779, -0.8384, 0.1001
SHEET, STIM, HIGH, 6, 1.0522, 0.4617, 2.6452, -2.1834, 0.1001
MOOSE, STIM, HIGH, 6, 0.6164, 2.3489, 1.1884, 1.1605, 0.1168
NOW, FOIL, LOW, 2, 0.8514, NA, NA, NA, NA
ADAGE, FOIL, LOW, 1, 0.8228, NA, NA, NA, NA
POMMEL, STIM, LOW, 6, 0.5507, -0.1972, 1.2479, -1.4451, 0.0834
TWO, FOIL, LOW, 1, 0.8170, NA, NA, NA, NA
TRUE, FOIL, LOW, 2, 0.9653, NA, NA, NA, NA
ASH, STIM, HIGH, 6, 0.6203, -0.8193, -1.8731, 1.0538, 0.0834
SPADE, STIM, HIGH, 6, 0.4933, 1.8729, 2.5234, -0.6506, 0.1001
WHOOP, FOIL, LOW, 2, 0.6234, NA, NA, NA, NA
OPEN, STIM, LOW, 6, 0.8262, 1.1587, -0.8417, 2.0004, 0.2002
WHOLE, STIM, LOW, 3, 2.2699, 0.0680, 0.3570, -0.2890, 0.0500
SISTER, FOIL, HIGH, 2, 0.6540, NA, NA, NA, NA
CLUMSY, STIM, LOW, 1, 3.5411, 1.9764, -2.6037, -1.7031, 0.6505
KILL, STIM, LOW, 6, 0.5720, 1.7818, -0.6475, 2.4293, 0.1668
SHOE, STIM, HIGH, 6, 0.6975, -1.2358, -0.0256, -1.2102, 0.0500
