word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
buddy,5247,2321,4328,2189,102.88,3.72,27.67,3.3659,5
stuck,3399,2312,3283,2273,66.65,3.5315,27.56,3.3642,5
loves,3695,2298,3586,2256,72.45,3.5677,27.4,3.3615,5
twice,3191,2287,2800,2100,62.57,3.5041,27.27,3.3595,5
jesus,8220,2273,25,18,161.18,3.9149,27.1,3.3568,5
whose,3187,2272,2137,1640,62.49,3.5035,27.09,3.3566,5
agree,3298,2264,3269,2253,64.67,3.5184,26.99,3.3551,5
prove,3590,2261,3368,2152,70.39,3.5552,26.96,3.3545,5
lived,3368,2229,3291,2197,66.04,3.5275,26.57,3.3483,5
dress,4447,2186,4328,2134,87.2,3.6482,26.06,3.3398,5
carry,3361,2181,2973,2003,65.9,3.5266,26,3.3389,5
doubt,3205,2165,3141,2130,62.84,3.506,25.81,3.3357,5
teach,3715,2150,3452,2066,72.84,3.5701,25.63,3.3326,5
idiot,3377,2147,3112,2032,66.22,3.5287,25.6,3.332,5
store,4178,2145,4040,2095,81.92,3.6211,25.57,3.3316,5
admit,3019,2125,2727,1999,59.2,3.48,25.33,3.3276,5
ought,4118,2110,4052,2093,80.75,3.6148,25.15,3.3245,5
blame,2998,2105,2883,2065,58.78,3.477,25.1,3.3235,5
bunch,3003,2105,2846,2027,58.88,3.4777,25.1,3.3235,5
movie,6271,2101,6103,2066,122.96,3.7974,25.05,3.3226,5
group,3762,2097,3033,1680,73.76,3.5755,25,3.3218,5
awful,3234,2092,3046,2029,63.41,3.5099,24.94,3.3208,5
visit,2993,2091,2950,2069,58.69,3.4763,24.93,3.3206,5
knock,3299,2088,2334,1648,64.69,3.5185,24.89,3.3199,5
worst,2874,2087,2769,2032,56.35,3.4586,24.88,3.3197,5
dying,3416,2084,3305,2049,66.98,3.5336,24.85,3.3191,5
extra,3017,2070,2744,1969,59.16,3.4797,24.68,3.3162,5
miles,4500,2064,3629,1966,88.24,3.6533,24.61,3.3149,5
dirty,3389,2060,3007,1907,66.45,3.5302,24.56,3.3141,5
marry,5322,2046,4991,1997,104.35,3.7262,24.39,3.3111,5
keeps,2681,2041,2501,1931,52.57,3.4285,24.33,3.3101,5
hotel,5264,2021,4201,1797,103.22,3.7214,24.09,3.3058,5
wrote,3629,2021,3589,2004,71.16,3.5599,24.09,3.3058,5
shoes,3782,2019,3611,1982,74.16,3.5778,24.07,3.3054,5
often,2925,2017,2823,1971,57.35,3.4663,24.05,3.3049,5
drunk,3904,2016,3745,1973,76.55,3.5916,24.03,3.3047,5
begin,2906,2013,2743,1945,56.98,3.4634,24,3.3041,5
brain,3928,1994,3710,1950,77.02,3.5943,23.77,3.2999,5
reach,2903,1993,2711,1916,56.92,3.463,23.76,3.2997,5
force,3604,1985,2918,1808,70.67,3.5569,23.66,3.298,5
tells,2665,1981,2593,1941,52.25,3.4259,23.62,3.2971,5
waste,2716,1960,2602,1899,53.25,3.4341,23.37,3.2925,5
folks,3878,1954,3557,1860,76.04,3.5887,23.3,3.2911,5
fresh,2780,1953,2373,1757,54.51,3.4442,23.28,3.2909,5
laugh,3206,1932,3023,1846,62.86,3.5061,23.03,3.2862,5
rules,3438,1932,3294,1900,67.41,3.5364,23.03,3.2862,5
field,3580,1919,3172,1803,70.2,3.554,22.88,3.2833,5
green,3696,1908,2541,1548,72.47,3.5678,22.75,3.2808,5
turns,2552,1898,2161,1653,50.04,3.4071,22.63,3.2785,5
round,3393,1895,3006,1765,66.53,3.5307,22.59,3.2778,5
honor,4912,1887,2989,1578,96.31,3.6913,22.5,3.276,5
plans,2867,1883,2793,1862,56.22,3.4576,22.45,3.2751,5
smoke,3337,1883,3003,1780,65.43,3.5235,22.45,3.2751,5
raise,2815,1872,2466,1712,55.2,3.4496,22.32,3.2725,5
peace,3550,1867,2937,1624,69.61,3.5504,22.26,3.2714,5
uncle,6327,1865,2225,1059,124.06,3.8013,22.23,3.2709,5
angry,3008,1864,2890,1826,58.98,3.4784,22.22,3.2707,5
silly,2912,1845,2654,1730,57.1,3.4643,22,3.2662,5
glass,3096,1841,2867,1770,60.71,3.4909,21.95,3.2653,5
court,5137,1839,4464,1693,100.73,3.7108,21.92,3.2648,5
treat,2646,1835,2490,1767,51.88,3.4228,21.88,3.2639,5
taste,2617,1825,2488,1770,51.31,3.418,21.76,3.2615,5
apart,2398,1821,2281,1748,47.02,3.38,21.71,3.2605,5
tight,2597,1813,2497,1776,50.92,3.4146,21.61,3.2586,5
names,2746,1793,2667,1759,53.84,3.4389,21.38,3.2538,5
books,3456,1783,3280,1743,67.76,3.5387,21.26,3.2514,5
crime,3633,1782,3328,1720,71.24,3.5604,21.24,3.2512,5
steal,2720,1781,2600,1739,53.33,3.4347,21.23,3.2509,5
above,2493,1778,2350,1703,48.88,3.3969,21.2,3.2502,5
smile,2958,1775,2408,1538,58,3.4711,21.16,3.2494,5
track,2843,1772,2720,1710,55.75,3.4539,21.13,3.2487,5
scene,3807,1771,3710,1754,74.65,3.5807,21.11,3.2485,5
pants,2996,1770,2850,1722,58.75,3.4767,21.1,3.2482,5
empty,2409,1764,2214,1663,47.24,3.382,21.03,3.2467,5
major,5343,1760,2354,1443,104.76,3.7279,20.98,3.2458,5
train,4848,1760,4618,1700,95.06,3.6857,20.98,3.2458,5
final,2533,1712,2321,1606,49.67,3.4038,20.41,3.2338,5
stole,2711,1705,2628,1672,53.16,3.4333,20.33,3.232,5
cross,2807,1700,2080,1436,55.04,3.4484,20.27,3.2307,5
south,3288,1693,1411,961,64.47,3.5171,20.18,3.2289,5
plane,4872,1691,4782,1671,95.53,3.6878,20.16,3.2284,5
heavy,2412,1688,2210,1590,47.29,3.3826,20.12,3.2276,5
press,3070,1683,2707,1520,60.2,3.4873,20.06,3.2263,5
board,3272,1682,2920,1575,64.16,3.5149,20.05,3.2261,5
sight,2311,1677,2259,1665,45.31,3.364,19.99,3.2248,5
space,3369,1674,3073,1604,66.06,3.5276,19.96,3.224,5
allow,2263,1660,1840,1419,44.37,3.3549,19.79,3.2204,5
price,2722,1644,2375,1561,53.37,3.435,19.6,3.2162,5
clock,2990,1639,2893,1608,58.63,3.4758,19.54,3.2148,5
fired,3159,1626,3067,1610,61.94,3.4997,19.38,3.2114,5
teeth,2440,1626,2353,1598,47.84,3.3876,19.38,3.2114,5
radio,3936,1624,3353,1491,77.18,3.5952,19.36,3.2109,5
judge,4063,1621,2790,1450,79.67,3.609,19.33,3.2101,5
north,3258,1616,1583,979,63.88,3.5131,19.27,3.2087,5
grand,3214,1614,2335,1289,63.02,3.5072,19.24,3.2082,5
shows,2117,1605,2046,1557,41.51,3.3259,19.13,3.2057,5
bucks,2866,1596,2841,1592,56.2,3.4574,19.03,3.2033,5
level,2633,1590,2442,1542,51.63,3.4206,18.96,3.2017,5
horse,4737,1577,4472,1488,92.88,3.6756,18.8,3.1981,5
guard,2968,1569,2122,1297,58.2,3.4726,18.71,3.1959,5
heads,2177,1559,1828,1370,42.69,3.3381,18.59,3.1931,5
match,2521,1557,2416,1521,49.43,3.4017,18.56,3.1926,5
cares,2023,1555,2014,1548,39.67,3.3062,18.54,3.192,5
truck,3716,1555,3571,1537,72.86,3.5702,18.54,3.192,5
chair,2511,1553,2442,1525,49.24,3.4,18.51,3.1915,5
threw,2082,1552,2026,1529,40.82,3.3187,18.5,3.1912,5
build,2452,1542,2327,1484,48.08,3.3897,18.38,3.1884,5
trick,2411,1526,2215,1455,47.27,3.3824,18.19,3.1838,5
shame,2120,1519,1793,1365,41.57,3.3265,18.11,3.1818,5
loose,2131,1508,2060,1474,41.78,3.3288,17.98,3.1787,5
spoke,1970,1505,1945,1490,38.63,3.2947,17.94,3.1778,5
older,2135,1502,2031,1456,41.86,3.3296,17.91,3.177,5
local,2128,1498,1958,1418,41.73,3.3282,17.86,3.1758,5
large,2114,1480,1979,1429,41.45,3.3253,17.64,3.1706,5
usual,1899,1475,1859,1452,37.24,3.2788,17.58,3.1691,5
rough,1907,1449,1762,1346,37.39,3.2806,17.27,3.1614,5
built,2099,1446,2040,1421,41.16,3.3222,17.24,3.1605,5
games,2287,1441,2169,1412,44.84,3.3595,17.18,3.159,5
study,2501,1419,2397,1371,49.04,3.3983,16.92,3.1523,5
total,1920,1409,1668,1274,37.65,3.2835,16.8,3.1492,5
split,1954,1406,1794,1332,38.31,3.2911,16.76,3.1483,5
shirt,2365,1400,2330,1383,46.37,3.374,16.69,3.1464,5
agent,5235,1399,2519,1158,102.65,3.719,16.68,3.1461,5
guest,2037,1381,1990,1363,39.94,3.3092,16.46,3.1405,5
hurts,1907,1378,1854,1343,37.39,3.2806,16.43,3.1396,5
chief,3973,1374,1876,995,77.9,3.5992,16.38,3.1383,5
color,2011,1366,1928,1326,39.43,3.3036,16.29,3.1358,5
serve,1935,1361,1840,1319,37.94,3.2869,16.23,3.1342,5
aware,1818,1356,1807,1350,35.65,3.2598,16.17,3.1326,5
blind,2337,1353,2174,1313,45.82,3.3688,16.13,3.1316,5
cards,2449,1353,2381,1319,48.02,3.3892,16.13,3.1316,5
ideas,1987,1351,1962,1338,38.96,3.2984,16.11,3.131,5
lines,1960,1348,1897,1322,38.43,3.2925,16.07,3.13,5
cream,2484,1345,2262,1271,48.71,3.3953,16.03,3.129,5
truly,1830,1342,1642,1244,35.88,3.2627,16,3.1281,5
screw,1912,1340,1318,998,37.49,3.2817,15.98,3.1274,5
mommy,3617,1329,700,444,70.92,3.5585,15.84,3.1239,5
block,2067,1318,1808,1252,40.53,3.3156,15.71,3.1202,5
cheap,1848,1304,1668,1224,36.24,3.2669,15.55,3.1156,5
frank,8129,1303,248,205,159.39,3.9101,15.53,3.1153,5
stars,2353,1302,1884,1137,46.14,3.3718,15.52,3.1149,5
shake,2021,1296,1503,1105,39.63,3.3058,15.45,3.1129,5
beach,2888,1291,2180,1025,56.63,3.4607,15.39,3.1113,5
brown,3066,1290,1042,757,60.12,3.4867,15.38,3.1109,5
among,1729,1273,1541,1153,33.9,3.238,15.18,3.1052,5
scare,1712,1261,1647,1226,33.57,3.2338,15.03,3.1011,5
slept,1810,1260,1762,1226,35.49,3.2579,15.02,3.1007,5
speed,2104,1260,1824,1153,41.25,3.3233,15.02,3.1007,5
knife,2387,1255,2304,1215,46.8,3.378,14.96,3.099,5
noise,1779,1252,1741,1237,34.88,3.2504,14.93,3.098,5
fancy,1777,1233,1486,1098,34.84,3.2499,14.7,3.0913,5
crowd,1906,1230,1671,1146,37.37,3.2804,14.66,3.0903,5
enemy,2474,1229,2328,1193,48.51,3.3936,14.65,3.0899,5
finds,1492,1226,1473,1218,29.25,3.1741,14.62,3.0888,5
magic,2687,1223,2341,1117,52.69,3.4294,14.58,3.0878,5
faith,2363,1220,2008,1159,46.33,3.3736,14.54,3.0867,5
naked,2002,1217,1839,1162,39.25,3.3017,14.51,3.0856,5
ended,1511,1214,1485,1194,29.63,3.1796,14.47,3.0846,5
drugs,2464,1212,2261,1147,48.31,3.3918,14.45,3.0839,5
river,2829,1211,2139,963,55.47,3.4518,14.44,3.0835,5
outta,3185,1206,3111,1190,62.45,3.5032,14.38,3.0817,5
kinda,2163,1205,1913,1087,42.41,3.3353,14.37,3.0813,5
fixed,1647,1204,1600,1178,32.29,3.217,14.35,3.081,5
legal,1821,1200,1662,1136,35.71,3.2605,14.31,3.0795,5
freak,1874,1198,1741,1148,36.75,3.273,14.28,3.0788,5
crack,1675,1192,1556,1147,32.84,3.2243,14.21,3.0766,5
shape,1542,1189,1509,1172,30.24,3.1884,14.18,3.0755,5
issue,1741,1188,1722,1181,34.14,3.241,14.16,3.0752,5
queen,2789,1188,1681,825,54.69,3.4456,14.16,3.0752,5
spare,1573,1186,1314,1031,30.84,3.197,14.14,3.0745,5
doors,1755,1180,1658,1136,34.41,3.2445,14.07,3.0722,5
chest,2090,1177,1940,1134,40.98,3.3204,14.03,3.0711,5
stage,2324,1176,2193,1139,45.57,3.3664,14.02,3.0708,5
devil,2108,1172,1700,1037,41.33,3.3241,13.97,3.0693,5
sugar,1926,1146,1476,998,37.76,3.2849,13.66,3.0596,5
hired,1683,1144,1654,1133,33,3.2263,13.64,3.0588,5
balls,2048,1141,1927,1100,40.16,3.3115,13.6,3.0577,5
trade,1795,1126,1498,1047,35.2,3.2543,13.42,3.0519,5
bless,1788,1115,1207,813,35.06,3.2526,13.29,3.0477,5
angel,3992,1112,1430,855,78.27,3.6013,13.26,3.0465,5
brave,1617,1111,1511,1052,31.71,3.209,13.25,3.0461,5
proof,1754,1111,1659,1077,34.39,3.2443,13.25,3.0461,5
style,1534,1106,1474,1087,30.08,3.1861,13.19,3.0441,5
toast,1707,1104,1614,1063,33.47,3.2325,13.16,3.0434,5
drove,1472,1101,1413,1076,28.86,3.1682,13.13,3.0422,5
nurse,2294,1099,1589,906,44.98,3.3608,13.1,3.0414,5
began,1658,1095,1645,1090,32.51,3.2198,13.05,3.0398,5
video,2105,1088,1916,1045,41.27,3.3235,12.97,3.037,5
shock,1468,1085,1402,1053,28.78,3.167,12.94,3.0358,5
faces,1363,1082,1303,1057,26.73,3.1348,12.9,3.0346,5
focus,1499,1073,1253,939,29.39,3.1761,12.79,3.031,5
moves,1420,1067,1389,1052,27.84,3.1526,12.72,3.0286,5
parts,1501,1063,1468,1048,29.43,3.1767,12.67,3.0269,5
enter,1516,1060,1311,943,29.73,3.181,12.64,3.0257,5
badly,1336,1055,1286,1033,26.2,3.1261,12.58,3.0237,5
lower,1417,1055,1102,891,27.78,3.1517,12.58,3.0237,5
exist,1477,1049,1476,1049,28.96,3.1697,12.51,3.0212,5
hated,1439,1046,1416,1032,28.22,3.1584,12.47,3.0199,5
avoid,1239,1043,1177,998,24.29,3.0934,12.43,3.0187,5
grown,1275,1041,1244,1025,25,3.1059,12.41,3.0179,5
paint,1877,1025,1752,984,36.8,3.2737,12.22,3.0111,5
based,1357,1020,1073,845,26.61,3.1329,12.16,3.009,5
awake,1362,1016,1315,997,26.71,3.1345,12.11,3.0073,5
dozen,1231,1001,1214,991,24.14,3.0906,11.93,3.0009,5
stood,1315,996,1284,979,25.78,3.1193,11.87,2.9987,5
grade,1493,993,1442,967,29.27,3.1744,11.84,2.9974,5
plays,1521,993,1388,926,29.82,3.1824,11.84,2.9974,5
hates,1313,988,1262,961,25.75,3.1186,11.78,2.9952,5
staff,1632,987,1457,923,32,3.213,11.77,2.9948,5
talks,1216,987,1182,969,23.84,3.0853,11.77,2.9948,5
below,1430,986,1379,964,28.04,3.1556,11.75,2.9943,5
model,1635,982,1534,942,32.06,3.2138,11.71,2.9926,5
aside,1212,980,1067,877,23.76,3.0839,11.68,2.9917,5
score,1552,977,1459,931,30.43,3.1912,11.65,2.9903,5
trees,1565,973,1492,945,30.69,3.1948,11.6,2.9886,5
cases,1436,969,1422,965,28.16,3.1575,11.55,2.9868,5
event,1345,969,1327,961,26.37,3.129,11.55,2.9868,5
trial,2518,960,2441,942,49.37,3.4012,11.44,2.9827,5
shots,1447,951,1357,913,28.37,3.1608,11.34,2.9786,5
david,5196,950,24,3,101.88,3.7158,11.33,2.9782,5
james,3358,950,18,13,65.84,3.5262,11.33,2.9782,5
birth,1405,948,1344,907,27.55,3.148,11.3,2.9773,5
exact,1154,948,1120,931,22.63,3.0626,11.3,2.9773,5
rooms,1326,947,1313,940,26,3.1229,11.29,2.9768,5
knees,1320,946,1298,935,25.88,3.1209,11.28,2.9763,5
chase,1673,944,894,743,32.8,3.2238,11.25,2.9754,5
punch,1514,943,1318,857,29.69,3.1804,11.24,2.975,5
stone,2072,938,1158,737,40.63,3.3166,11.18,2.9727,5
wound,1353,937,1316,926,26.53,3.1316,11.17,2.9722,5
pride,1411,936,1221,881,27.67,3.1498,11.16,2.9717,5
kinds,1121,932,1118,930,21.98,3.05,11.11,2.9699,5
fella,1705,930,1587,908,33.43,3.232,11.09,2.9689,5
plate,1308,925,1280,905,25.65,3.1169,11.03,2.9666,5
steps,1259,922,1201,907,24.69,3.1004,10.99,2.9652,5
scary,1336,920,1224,852,26.2,3.1261,10.97,2.9643,5
loser,1381,916,1209,833,27.08,3.1405,10.92,2.9624,5
sucks,1248,912,1188,873,24.47,3.0966,10.87,2.9605,5
sharp,1213,911,999,832,23.78,3.0842,10.86,2.96,5
helps,1084,905,1005,847,21.25,3.0354,10.79,2.9571,5
bread,1445,902,1341,863,28.33,3.1602,10.75,2.9557,5
candy,1825,902,1430,792,35.78,3.2615,10.75,2.9557,5
facts,1393,899,1319,872,27.31,3.1443,10.72,2.9542,5
alarm,1522,898,1422,855,29.84,3.1827,10.71,2.9538,5
joint,1405,898,1291,840,27.55,3.148,10.71,2.9538,5
nasty,1151,897,1031,829,22.57,3.0615,10.69,2.9533,5
crash,1461,892,1336,840,28.65,3.1649,10.63,2.9509,5
walls,1261,888,1220,869,24.73,3.1011,10.59,2.9489,5
claim,1295,886,1270,876,25.39,3.1126,10.56,2.9479,5
lover,1358,886,1240,829,26.63,3.1332,10.56,2.9479,5
lousy,1210,884,1107,822,23.73,3.0831,10.54,2.9469,5
spell,1869,884,1798,855,36.65,3.2718,10.54,2.9469,5
stops,1112,882,1056,846,21.8,3.0465,10.52,2.946,5
grave,1340,881,1285,868,26.27,3.1274,10.5,2.9455,5
falls,1301,871,930,754,25.51,3.1146,10.38,2.9405,5
signs,1123,863,1085,847,22.02,3.0508,10.29,2.9365,5
sweat,1115,863,1056,831,21.86,3.0477,10.29,2.9365,5
terms,1138,863,1123,851,22.31,3.0565,10.29,2.9365,5
ocean,1545,862,1284,760,30.29,3.1892,10.28,2.936,5
value,1097,862,1075,854,21.51,3.0406,10.28,2.936,5
giant,1380,861,1239,799,27.06,3.1402,10.26,2.9355,5
minds,1072,861,1047,846,21.02,3.0306,10.26,2.9355,5
swing,1325,857,1064,755,25.98,3.1225,10.22,2.9335,5
media,1137,852,709,483,22.29,3.0561,10.16,2.9309,5
wheel,1380,851,1283,798,27.06,3.1402,10.15,2.9304,5
owner,1185,850,1136,826,23.24,3.0741,10.13,2.9299,5
pizza,1709,841,1399,744,33.51,3.233,10.03,2.9253,5
stays,977,839,955,824,19.16,2.9903,10,2.9243,5
nerve,1171,834,1152,824,22.96,3.0689,9.94,2.9217,5
plain,1113,832,1001,764,21.82,3.0469,9.92,2.9206,5
plant,1408,831,1338,795,27.61,3.1489,9.91,2.9201,5
juice,1371,830,1269,801,26.88,3.1374,9.9,2.9196,5
mixed,1090,828,1053,812,21.37,3.0378,9.87,2.9186,5
kills,1015,826,978,800,19.9,3.0069,9.85,2.9175,5
storm,1574,826,1329,755,30.86,3.1973,9.85,2.9175,5
FALSE,1078,826,951,741,21.14,3.033,9.85,2.9175,5
image,1154,818,1138,812,22.63,3.0626,9.75,2.9133,5
leads,1009,817,988,804,19.78,3.0043,9.74,2.9128,5
tears,1140,817,1035,764,22.35,3.0573,9.74,2.9128,5
argue,1007,814,999,808,19.75,3.0035,9.7,2.9112,5
rings,1524,811,1349,763,29.88,3.1833,9.67,2.9096,5
bones,1561,809,1135,755,30.61,3.1937,9.64,2.9085,5
armed,1164,807,1008,720,22.82,3.0663,9.62,2.9074,5
trash,1146,804,1070,770,22.47,3.0596,9.59,2.9058,5
super,1336,798,747,520,26.2,3.1261,9.51,2.9025,5
coast,1361,795,771,526,26.69,3.1342,9.48,2.9009,5
shift,1164,793,1097,758,22.82,3.0663,9.45,2.8998,5
couch,1197,792,1171,776,23.47,3.0785,9.44,2.8993,5
flesh,1125,792,1062,773,22.06,3.0515,9.44,2.8993,5
panic,1114,792,1063,769,21.84,3.0473,9.44,2.8993,5
seats,1110,787,1093,776,21.76,3.0457,9.38,2.8965,5
notes,1255,786,1205,759,24.61,3.099,9.37,2.896,5
bored,1029,785,990,773,20.18,3.0128,9.36,2.8954,5
mercy,1291,785,1030,685,25.31,3.1113,9.36,2.8954,5
peter,4596,785,20,12,90.12,3.6625,9.36,2.8954,5
solid,998,781,865,710,19.57,2.9996,9.31,2.8932,5
rocks,1167,777,1097,739,22.88,3.0674,9.26,2.891,5
tests,1197,777,1170,770,23.47,3.0785,9.26,2.891,5
