,word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
1562,spread,1596,1194,1274,1003,31.29,3.2033,14.23,3.0774,6
1565,headed,1570,1191,1522,1168,30.78,3.1962,14.2,3.0763,6
1566,market,1848,1189,1728,1137,36.24,3.2669,14.18,3.0755,6
1571,waited,1485,1186,1457,1172,29.12,3.172,14.14,3.0745,6
1583,damage,1686,1177,1609,1145,33.06,3.2271,14.03,3.0711,6
1585,victim,2434,1176,2325,1155,47.73,3.3865,14.02,3.0708,6
1587,travel,1702,1175,1598,1126,33.37,3.2312,14.01,3.0704,6
1588,genius,1773,1174,1640,1126,34.76,3.249,14,3.07,6
1598,kicked,1559,1166,1527,1143,30.57,3.1931,13.9,3.0671,6
1599,repeat,1684,1166,1196,915,33.02,3.2266,13.9,3.0671,6
1600,george,7474,1163,23,16,146.55,3.8736,13.87,3.066,6
1607,united,2564,1158,200,154,50.27,3.4091,13.81,3.0641,6
1617,safety,1649,1147,1499,1068,32.33,3.2175,13.67,3.0599,6
1622,borrow,1495,1145,1445,1120,29.31,3.1749,13.65,3.0592,6
1626,filled,1386,1143,1336,1111,27.18,3.1421,13.63,3.0584,6
1634,social,1703,1135,1422,994,33.39,3.2315,13.53,3.0554,6
1638,cheese,1991,1130,1731,1025,39.04,3.2993,13.47,3.0535,6
1639,battle,2155,1126,1856,1031,42.25,3.3336,13.42,3.0519,6
1646,lesson,1644,1120,1583,1099,32.24,3.2162,13.35,3.0496,6
1653,invite,1509,1111,1423,1064,29.59,3.179,13.25,3.0461,6
1659,member,1468,1109,1414,1087,28.78,3.167,13.22,3.0453,6
1666,decent,1433,1106,1374,1075,28.1,3.1565,13.19,3.0441,6
1672,bodies,1694,1103,1644,1077,33.22,3.2292,13.15,3.043,6
1679,mostly,1330,1099,974,836,26.08,3.1242,13.1,3.0414,6
1692,speech,1940,1090,1823,1050,38.04,3.288,12.99,3.0378,6
1693,smells,1391,1089,1151,922,27.27,3.1436,12.98,3.0374,6
