"","word","list","list_type","list_length","frequency"
"63","buries",4,"orthographic",18,2574
"64","bushed",4,"orthographic",18,2574
"65","barged",4,"orthographic",18,2574
"66","butted",4,"orthographic",18,2574
"67","burped",4,"orthographic",18,2574
"68","barked",4,"orthographic",18,2574
"69","buffed",4,"orthographic",18,2574
"70","barfed",4,"orthographic",18,2574
"71","bucked",4,"orthographic",18,2574
"72","locked",5,"orthographic",17,2574
"73","loaded",5,"orthographic",17,2574
"74","loaned",5,"orthographic",17,2574
"75","lodged",5,"orthographic",17,2574
"76","logged",5,"orthographic",17,2574
"77","leaned",5,"orthographic",17,2574
"78","leaked",5,"orthographic",17,2574
"79","leased",5,"orthographic",17,2574
"80","loaves",5,"orthographic",17,2574
"81","leaped",5,"orthographic",17,2574
"82","looped",5,"orthographic",17,2574
"83","looted",5,"orthographic",17,2574
"84","loafer",5,"orthographic",17,2574
"85","loader",5,"orthographic",17,2574
"86","leaded",5,"orthographic",17,2574
"87","lopped",5,"orthographic",17,2574
"88","loosed",5,"orthographic",17,2574
"89","filled",6,"orthographic",20,2574
"90","forced",6,"orthographic",20,2574
"91","fooled",6,"orthographic",20,2574
"92","formed",6,"orthographic",20,2574
"93","forged",6,"orthographic",20,2574
"94","folded",6,"orthographic",20,2574
"95","fouled",6,"orthographic",20,2574
"96","fueled",6,"orthographic",20,2574
"97","flowed",6,"orthographic",20,2574
"98","foiled",6,"orthographic",20,2574
"99","flayed",6,"orthographic",20,2574
"100","fogged",6,"orthographic",20,2574
"101","fanned",6,"orthographic",20,2574
"102","flared",6,"orthographic",20,2574
"103","fenced",6,"orthographic",20,2574
"104","flaked",6,"orthographic",20,2574
"105","forked",6,"orthographic",20,2574
"106","flexed",6,"orthographic",20,2574
"107","felled",6,"orthographic",20,2574
"108","farmed",6,"orthographic",20,2574
"109","grades",7,"orthographic",16,2574
"110","grapes",7,"orthographic",16,2574
"111","graces",7,"orthographic",16,2574
"112","gravel",7,"orthographic",16,2574
"113","grains",7,"orthographic",16,2574
"114","grazed",7,"orthographic",16,2574
"115","grader",7,"orthographic",16,2574
"116","groves",7,"orthographic",16,2574
"117","graded",7,"orthographic",16,2574
"118","glades",7,"orthographic",16,2574
"119","graced",7,"orthographic",16,2574
"120","gratis",7,"orthographic",16,2574
"121","graphs",7,"orthographic",16,2574
"122","grates",7,"orthographic",16,2574
"123","gripes",7,"orthographic",16,2574
"124","grafts",7,"orthographic",16,2574
"125","missed",8,"orthographic",16,2574
"126","master",8,"orthographic",16,2574
"127","messed",8,"orthographic",16,2574
"128","marked",8,"orthographic",16,2574
"129","mashed",8,"orthographic",16,2574
"130","masses",8,"orthographic",16,2574
"131","mailed",8,"orthographic",16,2574
"132","masked",8,"orthographic",16,2574
"133","mapped",8,"orthographic",16,2574
"134","misled",8,"orthographic",16,2574
"135","manned",8,"orthographic",16,2574
"136","maimed",8,"orthographic",16,2574
"137","mauled",8,"orthographic",16,2574
"138","mussed",8,"orthographic",16,2574
"139","malted",8,"orthographic",16,2574
"140","massed",8,"orthographic",16,2574
"141","brains",9,"orthographic",16,2574
"142","brakes",9,"orthographic",16,2574
"143","blades",9,"orthographic",16,2574
"144","braces",9,"orthographic",16,2574
"145","blames",9,"orthographic",16,2574
"146","blazes",9,"orthographic",16,2574
"147","bribes",9,"orthographic",16,2574
"148","braver",9,"orthographic",16,2574
"149","brides",9,"orthographic",16,2574
"150","brands",9,"orthographic",16,2574
"151","blares",9,"orthographic",16,2574
"152","braids",9,"orthographic",16,2574
"153","braves",9,"orthographic",16,2574
"154","braced",9,"orthographic",16,2574
"155","braved",9,"orthographic",16,2574
"156","barges",9,"orthographic",16,2574
"157","seemed",10,"orthographic",16,2574
"158","served",10,"orthographic",16,2574
"159","sealed",10,"orthographic",16,2574
"160","seated",10,"orthographic",16,2574
"161","smiled",10,"orthographic",16,2574
"162","sailed",10,"orthographic",16,2574
"163","suited",10,"orthographic",16,2574
"164","sensed",10,"orthographic",16,2574
"165","seized",10,"orthographic",16,2574
"166","sliced",10,"orthographic",16,2574
"167","swiped",10,"orthographic",16,2574
"168","spiked",10,"orthographic",16,2574
"169","shines",10,"orthographic",16,2574
"170","soiled",10,"orthographic",16,2574
"171","spiced",10,"orthographic",16,2574
"172","seizes",10,"orthographic",16,2574
"173","rowing",11,"orthographic",17,2574
"174","roving",11,"orthographic",17,2574
"175","roping",11,"orthographic",17,2574
"176","robins",11,"orthographic",17,2574
"177","rotten",11,"orthographic",17,2574
"178","robbed",11,"orthographic",17,2574
"179","rolled",11,"orthographic",17,2574
"180","rocked",11,"orthographic",17,2574
"181","roster",11,"orthographic",17,2574
"182","routes",11,"orthographic",17,2574
"183","rooted",11,"orthographic",17,2574
"184","routed",11,"orthographic",17,2574
"185","roamed",11,"orthographic",17,2574
"186","roared",11,"orthographic",17,2574
"187","roomed",11,"orthographic",17,2574
"188","roused",11,"orthographic",17,2574
"189","router",11,"orthographic",17,2574
"190","starts",12,"orthographic",16,2574
"191","states",12,"orthographic",16,2574
"192","stands",12,"orthographic",16,2574
"193","stairs",12,"orthographic",16,2574
"194","status",12,"orthographic",16,2574
"195","stakes",12,"orthographic",16,2574
"196","stains",12,"orthographic",16,2574
"197","stages",12,"orthographic",16,2574
"198","scales",12,"orthographic",16,2574
"199","stares",12,"orthographic",16,2574
"200","stacks",12,"orthographic",16,2574
"201","stalls",12,"orthographic",16,2574
"202","stalks",12,"orthographic",16,2574
"203","scalps",12,"orthographic",16,2574
"204","shanks",12,"orthographic",16,2574
"205","stasis",12,"orthographic",16,2574
"206","horses",13,"orthographic",18,2574
"207","hooked",13,"orthographic",18,2574
"208","harmed",13,"orthographic",18,2574
"209","hopped",13,"orthographic",18,2574
"210","housed",13,"orthographic",18,2574
"211","hordes",13,"orthographic",18,2574
"212","hornet",13,"orthographic",18,2574
"213","horsey",13,"orthographic",18,2574
"214","hurled",13,"orthographic",18,2574
"215","hosted",13,"orthographic",18,2574
"216","horned",13,"orthographic",18,2574
"217","hocked",13,"orthographic",18,2574
"218","hotbed",13,"orthographic",18,2574
"219","herded",13,"orthographic",18,2574
"220","hooded",13,"orthographic",18,2574
"221","honked",13,"orthographic",18,2574
"222","howled",13,"orthographic",18,2574
"223","hurted",13,"orthographic",18,2574
"224","resume",14,"orthographic",19,2574
"225","reduce",14,"orthographic",19,2574
"226","refuge",14,"orthographic",19,2574
"227","remake",14,"orthographic",19,2574
"228","revoke",14,"orthographic",19,2574
"229","retake",14,"orthographic",19,2574
"230","repose",14,"orthographic",19,2574
"231","redone",14,"orthographic",19,2574
"232","rewire",14,"orthographic",19,2574
"233","refine",14,"orthographic",19,2574
"234","rebate",14,"orthographic",19,2574
"235","rebuke",14,"orthographic",19,2574
"236","recuse",14,"orthographic",19,2574
"237","rename",14,"orthographic",19,2574
"238","repute",14,"orthographic",19,2574
"239","resale",14,"orthographic",19,2574
"240","redeye",14,"orthographic",19,2574
"241","rehire",14,"orthographic",19,2574
"242","remade",14,"orthographic",19,2574
"243","career",15,"orthographic",17,2574
"244","caused",15,"orthographic",17,2574
"245","carpet",15,"orthographic",17,2574
"246","cursed",15,"orthographic",17,2574
"247","canned",15,"orthographic",17,2574
"248","carved",15,"orthographic",17,2574
"249","crazed",15,"orthographic",17,2574
"250","cashed",15,"orthographic",17,2574
"251","calmed",15,"orthographic",17,2574
"252","capped",15,"orthographic",17,2574
"253","camped",15,"orthographic",17,2574
"254","curled",15,"orthographic",17,2574
"255","cartel",15,"orthographic",17,2574
"256","curved",15,"orthographic",17,2574
"257","cabled",15,"orthographic",17,2574
"258","craved",15,"orthographic",17,2574
"259","carded",15,"orthographic",17,2574
"260","triple",16,"orthographic",17,2574
"261","trains",16,"orthographic",17,2574
"262","traces",16,"orthographic",17,2574
"263","trials",16,"orthographic",17,2574
"264","trails",16,"orthographic",17,2574
"265","trance",16,"orthographic",17,2574
"266","trifle",16,"orthographic",17,2574
"267","tribal",16,"orthographic",17,2574
"268","triage",16,"orthographic",17,2574
"269","trader",16,"orthographic",17,2574
"270","trauma",16,"orthographic",17,2574
"271","trashy",16,"orthographic",17,2574
"272","traits",16,"orthographic",17,2574
"273","tracer",16,"orthographic",17,2574
"274","trivia",16,"orthographic",17,2574
"275","tripod",16,"orthographic",17,2574
"276","triads",16,"orthographic",17,2574
"277","unless",17,"orthographic",17,2574
"278","united",17,"orthographic",17,2574
"279","unlike",17,"orthographic",17,2574
"280","unable",17,"orthographic",17,2574
"281","unlock",17,"orthographic",17,2574
"282","unload",17,"orthographic",17,2574
"283","unseen",17,"orthographic",17,2574
"284","unholy",17,"orthographic",17,2574
"285","unfold",17,"orthographic",17,2574
"286","unwind",17,"orthographic",17,2574
"287","unsure",17,"orthographic",17,2574
"288","untied",17,"orthographic",17,2574
"289","unwise",17,"orthographic",17,2574
"290","unions",17,"orthographic",17,2574
"291","unused",17,"orthographic",17,2574
"292","untidy",17,"orthographic",17,2574
"293","unwell",17,"orthographic",17,2574
"294","dining",18,"orthographic",18,2574
"295","divide",18,"orthographic",18,2574
"296","diving",18,"orthographic",18,2574
"297","diaper",18,"orthographic",18,2574
"298","digest",18,"orthographic",18,2574
"299","differ",18,"orthographic",18,2574
"300","divert",18,"orthographic",18,2574
"301","disarm",18,"orthographic",18,2574
"302","digits",18,"orthographic",18,2574
"303","diesel",18,"orthographic",18,2574
"304","digger",18,"orthographic",18,2574
"305","dialed",18,"orthographic",18,2574
"306","divers",18,"orthographic",18,2574
"307","dimwit",18,"orthographic",18,2574
"308","dinghy",18,"orthographic",18,2574
"309","dismay",18,"orthographic",18,2574
"310","dilute",18,"orthographic",18,2574
"311","dimmer",18,"orthographic",18,2574
