"","word","list","list_type","list_length","frequency"
"89","shapes",6,"semantic",16,95
"90","styles",6,"semantic",16,83
"91","haunts",6,"semantic",16,60
"92","traits",6,"semantic",16,57
"93","quirks",6,"semantic",16,45
"94","trends",6,"semantic",16,25
"95","doings",6,"semantic",16,24
"96","tenets",6,"semantic",16,12
"97","greedy",7,"semantic",16,309
"98","savage",7,"semantic",16,259
"99","sneaky",7,"semantic",16,183
"100","vulgar",7,"semantic",16,163
"101","rascal",7,"semantic",16,142
"102","sleazy",7,"semantic",16,102
"103","grumpy",7,"semantic",16,79
"104","shrewd",7,"semantic",16,64
"105","stingy",7,"semantic",16,56
"106","brazen",7,"semantic",16,58
"107","grubby",7,"semantic",16,29
"108","shifty",7,"semantic",16,31
"109","spoilt",7,"semantic",16,24
"110","craven",7,"semantic",16,11
"111","odious",7,"semantic",16,25
"112","amoral",7,"semantic",16,10
"113","united",8,"semantic",16,200
"114","formed",8,"semantic",16,236
"115","linked",8,"semantic",16,218
"116","forged",8,"semantic",16,200
"117","allied",8,"semantic",16,44
"118","parted",8,"semantic",16,91
"119","growed",8,"semantic",16,39
"120","paired",8,"semantic",16,32
"121","molded",8,"semantic",16,27
"122","welded",8,"semantic",16,27
"123","looped",8,"semantic",16,21
"124","merged",8,"semantic",16,22
"125","pooled",8,"semantic",16,12
"126","lumped",8,"semantic",16,11
"127","remade",8,"semantic",16,10
"128","massed",8,"semantic",16,10
"129","misery",9,"semantic",16,418
"130","sorrow",9,"semantic",16,314
"131","hatred",9,"semantic",16,262
"132","hating",9,"semantic",16,219
"133","grudge",9,"semantic",16,220
"134","menace",9,"semantic",16,163
"135","frenzy",9,"semantic",16,101
"136","deceit",9,"semantic",16,91
"137","strife",9,"semantic",16,63
"138","racism",9,"semantic",16,85
"139","malice",9,"semantic",16,57
"140","idiocy",9,"semantic",16,26
"141","apathy",9,"semantic",16,23
"142","fervor",9,"semantic",16,14
"143","enmity",9,"semantic",16,13
"144","hubris",9,"semantic",16,11
"145","extend",10,"semantic",16,287
"146","divide",10,"semantic",16,260
"147","extent",10,"semantic",16,206
"148","reduce",10,"semantic",16,199
"149","excess",10,"semantic",16,147
"150","absorb",10,"semantic",16,99
"151","soften",10,"semantic",16,73
"152","induce",10,"semantic",16,82
"153","exceed",10,"semantic",16,64
"154","lessen",10,"semantic",16,29
"155","offset",10,"semantic",16,29
"156","dilute",10,"semantic",16,16
"157","negate",10,"semantic",16,18
"158","dampen",10,"semantic",16,16
"159","deepen",10,"semantic",16,11
"160","boosts",10,"semantic",16,11
"161","pigeon",11,"semantic",16,257
"162","kitten",11,"semantic",16,214
"163","doggie",11,"semantic",16,141
"164","parrot",11,"semantic",16,145
"165","rodent",11,"semantic",16,88
"166","canine",11,"semantic",16,74
"167","hounds",11,"semantic",16,87
"168","badger",11,"semantic",16,49
"169","ferret",11,"semantic",16,43
"170","cocker",11,"semantic",16,35
"171","feline",11,"semantic",16,37
"172","kibble",11,"semantic",16,35
"173","beagle",11,"semantic",16,24
"174","dander",11,"semantic",16,14
"175","magpie",11,"semantic",16,10
"176","basset",11,"semantic",16,10
"177","onions",12,"semantic",16,263
"178","grapes",12,"semantic",16,180
"179","fruits",12,"semantic",16,129
"180","olives",12,"semantic",16,126
"181","slices",12,"semantic",16,97
"182","juices",12,"semantic",16,53
"183","lemons",12,"semantic",16,76
"184","spices",12,"semantic",16,106
"185","melons",12,"semantic",16,67
"186","groves",12,"semantic",16,31
"187","prunes",12,"semantic",16,26
"188","cloves",12,"semantic",16,26
"189","capers",12,"semantic",16,28
"190","fennel",12,"semantic",16,25
"191","chives",12,"semantic",16,13
"192","taters",12,"semantic",16,17
"193","carved",13,"semantic",16,187
"194","warped",13,"semantic",16,80
"195","glazed",13,"semantic",16,46
"196","rusted",13,"semantic",16,36
"197","singed",13,"semantic",16,28
"198","gilded",13,"semantic",16,30
"199","jagged",13,"semantic",16,24
"200","etched",13,"semantic",16,23
"201","coated",13,"semantic",16,19
"202","draped",13,"semantic",16,19
"203","tinted",13,"semantic",16,20
"204","leaded",13,"semantic",16,18
"205","glowed",13,"semantic",16,15
"206","angled",13,"semantic",16,11
"207","soaked",13,"semantic",16,154
"208","pitted",13,"semantic",16,11
"209","chilly",14,"semantic",16,195
"210","warmer",14,"semantic",16,168
"211","colder",14,"semantic",16,119
"212","gloomy",14,"semantic",16,111
"213","cloudy",14,"semantic",16,100
"214","dreary",14,"semantic",16,91
"215","frosty",14,"semantic",16,40
"216","frigid",14,"semantic",16,58
"217","groggy",14,"semantic",16,45
"218","dismal",14,"semantic",16,43
"219","steamy",14,"semantic",16,41
"220","drafty",14,"semantic",16,30
"221","sullen",14,"semantic",16,27
"222","torrid",14,"semantic",16,27
"223","wintry",14,"semantic",16,11
"224","swampy",14,"semantic",16,10
