"","X","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"8334",8334,"BARREL"," STIM"," HIGH","6",0.8266,2.3223,2.3779,-0.0556,0.3503,8
"8337",8337,"OUT"," STIM"," LOW","6",0.9325,-3.0857,-3.0632,-0.0225,0.8173,8
"8338",8338,"DIRT"," STIM"," HIGH","6",1.6445,0.0736,-0.0051,0.0787,0.8173,8
"8346",8346,"DOVE"," STIM"," HIGH","6",0.5831,-0.337,0.6929,-1.0299,0.3169,8
"8347",8347,"PLANK"," STIM"," HIGH","6",1.0017,-0.4096,-0.5056,0.096,1.1842,8
"8350",8350,"THERE"," STIM"," LOW","6",0.5726,1.4449,1.5403,-0.0955,0.6005,8
"8351",8351,"DITCH"," STIM"," HIGH","6",1.1817,-0.9982,-1.2079,0.2097,0.6505,8
"8353",8353,"TENSE"," STIM"," LOW","3",1.8908,-0.2415,2.2536,-2.4951,0.3002,8
"8354",8354,"TREAT"," STIM"," LOW","1",1.633,-0.7722,-2.7876,2.0154,0.467,8
"8355",8355,"ABHOR"," STIM"," LOW","6",0.6483,0.1475,0.4113,-0.2637,0.5337,8
"8356",8356,"TEEM"," STIM"," LOW","1",1.3323,-1.5443,2.9975,1.7413,0.4837,8
"8357",8357,"SIMILE"," STIM"," LOW","6",0.5696,0.0531,-0.1057,0.1588,0.5838,8
"8358",8358,"BYRE"," STIM"," LOW","6",0.8181,-2.0077,-0.2311,-1.7766,0.6338,8
"8361",8361,"DESK"," STIM"," HIGH","6",1.6672,2.6858,2.382,0.3038,0.7839,8
"8362",8362,"HIS"," STIM"," LOW","6",0.7058,-1.512,-1.5556,0.0437,1.4511,8
"8364",8364,"REVIEW"," STIM"," LOW","6",0.5851,0.7157,0.8399,-0.1242,0.6005,8
"8365",8365,"HIDE"," STIM"," LOW","6",0.6343,0.4888,1.0155,-0.5266,0.7339,8
"8369",8369,"REAP"," STIM"," LOW","3",3.0295,2.0899,0.0105,2.0794,0.6005,8
"8370",8370,"REGION"," STIM"," LOW","6",0.5876,-0.502,-0.5651,0.0631,0.7172,8
"8376",8376,"BEER"," STIM"," HIGH","6",1.2683,-1.724,-1.747,0.023,1.818,8
"8378",8378,"MENU"," STIM"," HIGH","6",0.8652,2.8177,2.9341,-0.1164,1.0341,8
"8379",8379,"DOCTOR"," STIM"," HIGH","6",1.0746,-2.9498,-2.9309,-0.0189,0.7005,8
"8380",8380,"SCOUT"," STIM"," HIGH","6",1.4376,1.6572,1.5446,0.1126,0.5671,8
"8384",8384,"HAWK"," STIM"," HIGH","6",0.7611,-0.2479,-0.3545,0.1066,1.6012,8
"8387",8387,"RING"," STIM"," HIGH","6",0.6267,1.57,1.4635,0.1065,0.5004,8
"8389",8389,"REPORT"," STIM"," LOW","6",0.6054,0.9705,1.1893,-0.2188,0.5671,8
"8390",8390,"THE"," STIM"," LOW","6",0.8087,0.2434,0.3824,-0.1391,0.9007,8
"8391",8391,"VICE"," STIM"," LOW","6",0.7779,-1.8358,-2.0644,0.2286,0.6839,8
"8392",8392,"BENCH"," STIM"," HIGH","6",1.5837,1.8554,1.8598,-0.0044,0.834,8
"8393",8393,"OPEN"," STIM"," LOW","6",1.2348,-0.5922,-0.6927,0.1005,2.4852,8
"8394",8394,"THRONG"," STIM"," LOW","6",0.6788,-1.8768,-2.1803,0.3035,0.5838,8
"8395",8395,"CLUE"," STIM"," LOW","6",1.4596,-1.4041,-1.2163,-0.1878,0.6338,8
"8399",8399,"SPREE"," STIM"," LOW","6",1.9856,-0.2599,-0.1626,-0.0973,1.0508,8
"8404",8404,"RANCID"," STIM"," LOW","6",0.7947,-1.0936,2.5913,2.5982,1.0341,8
"8408",8408,"HILL"," STIM"," HIGH","6",1.1171,-2.7288,2.6335,0.9209,2.3685,8
"8409",8409,"JAR"," STIM"," HIGH","6",0.767,2.5681,2.4301,0.138,0.7339,8
"8410",8410,"HEEL"," STIM"," HIGH","6",0.5752,-2.044,-1.9648,-0.0792,0.6672,8
"8411",8411,"VACATE"," STIM"," LOW","6",0.6581,2.1617,2.2,-0.0383,0.9174,8
"8412",8412,"BOSOM"," STIM"," HIGH","6",1.6177,-1.3901,-1.2457,-0.1443,0.884,8
"8414",8414,"APE"," STIM"," HIGH","6",0.7036,-0.8666,-2.2049,1.3383,0.8673,8
"8415",8415,"ELSE"," STIM"," LOW","6",0.7706,0.9063,0.9656,-0.0593,0.5838,8
"8418",8418,"RARITY"," STIM"," LOW","6",1.0209,-1.197,-0.9929,-0.2041,1.4011,8
"8419",8419,"GOSPEL"," STIM"," LOW","6",0.6688,-0.8183,-0.6828,-0.1355,1.1342,8
"8422",8422,"CEMENT"," STIM"," HIGH","6",0.5879,-0.0632,-0.1669,0.1037,0.6672,8
"8423",8423,"NURSE"," STIM"," HIGH","6",0.7429,1.3787,1.0686,0.3101,1.301,8
"8424",8424,"TRY"," STIM"," LOW","6",0.6203,2.2799,2.2415,0.0384,0.4837,8
"8428",8428,"SPEAR"," STIM"," HIGH","6",0.9776,-0.679,-0.7672,0.0882,1.2676,8
"8430",8430,"TIGER"," STIM"," HIGH","6",0.7569,-0.5887,-1.0347,0.446,0.4837,8
"8431",8431,"YOU"," STIM"," LOW","6",0.5786,-0.0974,0.052,-0.1494,0.7005,8
"8437",8437,"THAW"," STIM"," LOW","6",0.6435,-2.7631,-2.8991,0.136,0.7672,8
"8438",8438,"PLIERS"," STIM"," HIGH","6",0.6975,0.5406,0.778,-0.2375,0.9507,8
"8439",8439,"AXE"," STIM"," HIGH","6",0.5623,-1.2897,-1.2605,-0.0292,0.7672,8
"8440",8440,"BEET"," STIM"," HIGH","6",0.5015,-2.8382,-2.7737,-0.0646,0.9007,8
"8442",8442,"GO"," STIM"," LOW","6",0.5979,2.4413,2.3162,0.1251,0.7839,8
"8445",8445,"POT"," STIM"," HIGH","6",0.6063,1.4568,1.3664,0.0904,0.6672,8
"8447",8447,"THING"," STIM"," LOW","6",0.7601,2.9806,-3.0788,-0.2237,0.9841,8
"8449",8449,"SALARY"," STIM"," LOW","6",0.5732,-0.2311,-0.0052,-0.2259,0.7672,8
"8452",8452,"CAMEL"," STIM"," HIGH","6",0.9086,3.1032,3.0945,0.0087,0.5171,8
"8453",8453,"CHAIN"," STIM"," HIGH","6",0.7997,-1.1566,-1.1002,-0.0563,0.6839,8
"8455",8455,"MARBLE"," STIM"," HIGH","6",0.8787,-0.351,-0.0925,-0.2585,1.1509,8
"8456",8456,"PIPE"," STIM"," HIGH","6",1.4996,-2.4807,-2.5022,0.0215,0.9507,8
"8458",8458,"CAR"," STIM"," HIGH","6",2.4981,-0.6786,-0.6821,0.0035,1.2676,8
"8460",8460,"SEAT"," STIM"," HIGH","6",0.6781,-2.6725,-2.7286,0.0561,0.8506,8
"8461",8461,"WAX"," STIM"," HIGH","6",2.1492,2.378,2.1299,0.248,0.7005,8
"8465",8465,"CROWN"," STIM"," HIGH","6",0.4996,-1.8847,-1.8344,-0.0503,0.7339,8
"8466",8466,"PHRASE"," STIM"," LOW","6",0.6751,-0.6237,-0.7375,0.1137,0.8173,8
"8468",8468,"TWANG"," STIM"," LOW","6",0.5772,2.9126,2.8412,0.0714,0.7005,8
"8470",8470,"BERRY"," STIM"," HIGH","6",0.6227,-2.8338,-2.9291,0.0952,0.8006,8
"8471",8471,"SCOUT"," STIM"," HIGH","6",0.9009,2.953,2.7659,0.1871,0.9007,8
"8473",8473,"DEED"," STIM"," LOW","6",0.6193,1.718,1.6906,0.0274,0.7839,8
"8475",8475,"APPLE"," STIM"," HIGH","6",0.6128,2.8525,2.6733,0.1791,1.3343,8
"8478",8478,"FEAT"," STIM"," LOW","6",0.5899,-0.0733,0.0308,-0.104,0.7339,8
"8480",8480,"CAPE"," STIM"," HIGH","6",0.6375,0.5567,0.8437,-0.287,0.7672,8
"8481",8481,"POPE"," STIM"," HIGH","6",1.4342,-0.1049,0.0314,-0.1363,0.6171,8
"8482",8482,"MOTHER"," STIM"," HIGH","6",0.5341,0.8873,1.0286,-0.1414,0.7172,8
"8484",8484,"SMEAR"," STIM"," LOW","1",0.8883,-2.6914,2.4423,1.1495,0.6672,8
"8487",8487,"WEEK"," STIM"," LOW","6",0.6752,-1.3376,-1.3896,0.052,1.3677,8
"8490",8490,"GOLD"," STIM"," HIGH","6",0.6693,1.5947,1.5396,0.0551,0.5671,8
"8492",8492,"TRAWL"," STIM"," LOW","6",0.5742,-2.4899,2.6894,1.1038,0.7005,8
"8493",8493,"BLEW"," STIM"," LOW","1",0.6639,-1.4504,-1.1796,-0.2708,0.7672,8
"8494",8494,"WHALE"," STIM"," HIGH","6",2.2732,-2.7982,-2.7737,-0.0245,0.6672,8
"8496",8496,"WATT"," STIM"," LOW","6",0.561,-0.8829,-0.8814,-0.0015,0.6171,8
"8499",8499,"WAGE"," STIM"," LOW","6",0.8986,-2.0441,-2.0344,-0.0096,1.1842,8
"8502",8502,"GAIT"," STIM"," LOW","6",0.669,0.6857,0.9957,-0.31,0.6839,8
"8504",8504,"FUDGE"," STIM"," HIGH","6",0.589,-1.7148,-1.7995,0.0848,0.6171,8
"8505",8505,"DOLL"," STIM"," HIGH","6",0.667,-0.9207,-0.7198,-0.2009,0.7839,8
"8507",8507,"SIEGE"," STIM"," LOW","3",2.3121,-1.9869,2.4006,1.8957,2.4852,8
"8509",8509,"PATENT"," STIM"," LOW","6",1.5207,3.0318,-3.1212,-0.1302,0.6505,8
"8511",8511,"BORE"," STIM"," LOW","6",1.0909,-1.3101,-1.0313,-0.2788,0.7339,8
"8512",8512,"SHELL"," STIM"," HIGH","6",0.7864,1.8426,1.8942,-0.0516,0.5337,8
"8513",8513,"DERAY"," STIM"," LOW","6",0.5471,2.8741,2.4449,0.4292,2.1016,8
"8514",8514,"TROUT"," STIM"," HIGH","6",0.8261,-2.8964,-2.2734,-0.6231,0.5004,8
"8519",8519,"COACH"," STIM"," HIGH","6",0.8311,0.5273,0.6691,-0.1418,0.7839,8
"8522",8522,"BIRD"," STIM"," HIGH","6",0.6679,1.133,1.1186,0.0143,0.6338,8
"8523",8523,"DROVE"," STIM"," LOW","6",0.7428,1.5446,1.54,0.0046,0.5337,8
"8524",8524,"WEAK"," STIM"," LOW","6",0.5621,-0.2825,-0.4328,0.1502,0.6672,8
"8527",8527,"JAM"," STIM"," HIGH","6",0.6229,-0.4409,-0.5679,0.127,0.7005,8
"8533",8533,"EASY"," STIM"," LOW","6",0.5807,-2.743,-2.874,0.131,2.7854,8
"8534",8534,"RAKE"," STIM"," HIGH","6",0.6562,0.7299,0.8767,-0.1468,0.8506,8
"8535",8535,"CANOE"," STIM"," HIGH","6",0.6109,1.5462,1.5397,0.0065,0.5171,8
"8537",8537,"VASE"," STIM"," HIGH","6",0.5892,0.5388,0.7484,-0.2096,0.9174,8
"8538",8538,"SLANG"," STIM"," LOW","6",0.6221,-1.7289,-1.7204,-0.0085,0.5838,8
"8540",8540,"EFFECT"," STIM"," LOW","6",0.6506,0.8793,1.9932,-1.1139,3.0356,8
"8541",8541,"SPOON"," STIM"," HIGH","6",2.7823,-1.9087,-1.6679,-0.2408,0.6839,8
"8545",8545,"PIECE"," STIM"," LOW","6",1.0353,2.3254,2.647,-0.3216,0.5171,8
"8548",8548,"BANANA"," STIM"," HIGH","6",0.6775,-1.5762,-1.5344,-0.0418,0.6171,8
"8549",8549,"CEDE"," STIM"," LOW","6",0.6263,0.7524,0.8112,-0.0588,0.3836,8
"8550",8550,"DOCTOR"," STIM"," HIGH","6",0.4976,-0.5375,-0.8515,0.314,0.9507,8
"8551",8551,"WOOD"," STIM"," HIGH","6",0.5143,-1.1939,-1.1398,-0.0541,0.7672,8
"8553",8553,"LURE"," STIM"," LOW","6",0.5652,-0.2201,-0.2249,0.0047,0.7339,8
"8555",8555,"PAVIS"," STIM"," LOW","6",0.8012,2.9509,2.5406,0.4103,0.5504,8
"8556",8556,"INCOME"," STIM"," LOW","6",0.6459,2.7984,2.8775,-0.0791,0.4003,8
"8560",8560,"NOT"," STIM"," LOW","6",0.7637,-2.6798,-2.8182,0.1384,0.8506,8
"8561",8561,"LUNGE"," STIM"," LOW","6",1.4014,-0.2048,-0.0819,-0.1229,0.7506,8
"8563",8563,"SHOWN"," STIM"," LOW","1",0.915,1.7454,0.5007,1.2447,0.3836,8
"8564",8564,"UNCLE"," STIM"," HIGH","6",0.5508,-1.7099,-1.8256,0.1157,0.4003,8
"8565",8565,"TABLE"," STIM"," HIGH","6",0.5466,1.2085,1.0155,0.193,0.6005,8
"8567",8567,"RENT"," STIM"," LOW","6",0.599,-1.7242,-1.8434,0.1192,0.5671,8
"8569",8569,"MOUSE"," STIM"," HIGH","6",1.1254,0.4066,0.5707,-0.1641,0.417,8
"8571",8571,"RULE"," STIM"," LOW","6",0.5612,-1.7829,0.1026,-1.8855,0.4003,8
"8572",8572,"DRAB"," STIM"," LOW","6",0.5609,-1.3055,-1.2194,-0.0861,0.5504,8
"8573",8573,"POTATO"," STIM"," HIGH","6",0.5377,-3.0919,3.1313,0.06,0.4837,8
"8579",8579,"KIND"," STIM"," LOW","6",0.593,-1.1363,-1.0339,-0.1024,0.7672,8
"8581",8581,"JUPON"," STIM"," LOW","6",1.7589,-1.8916,-1.9338,0.0423,0.5504,8
"8582",8582,"UNIQUE"," STIM"," LOW","6",0.8364,-0.2503,-0.1089,-0.1413,0.6672,8
"8585",8585,"ABLE"," STIM"," LOW","6",0.6776,2.7234,2.5436,0.1798,0.5504,8
"8587",8587,"CONE"," STIM"," HIGH","6",0.6052,2.526,2.2828,0.2432,0.5671,8
"8588",8588,"MOLE"," STIM"," HIGH","6",0.6202,-2.1002,-2.0623,-0.038,0.934,8
"8591",8591,"WOUND"," STIM"," HIGH","6",0.713,1.6782,1.9205,-0.2423,0.5838,8
"8597",8597,"TURN"," STIM"," LOW","6",0.9737,0.4898,0.7378,-0.248,0.5838,8
"8598",8598,"UPON"," STIM"," LOW","6",0.6864,-2.3928,-2.5309,0.138,0.6672,8
"8599",8599,"NEST"," STIM"," HIGH","6",0.6256,0.9154,0.912,0.0035,0.6005,8
"8600",8600,"DO"," STIM"," LOW","6",0.9386,-0.5173,-0.756,0.2387,1.4845,8
"8601",8601,"FLOW"," STIM"," LOW","6",1.5589,-3.0129,-2.9483,-0.0647,0.6672,8
"8604",8604,"HURDLE"," STIM"," HIGH","6",0.5691,0.2766,0.4151,-0.1384,0.6171,8
"8605",8605,"ORIGIN"," STIM"," LOW","6",0.5181,-1.7363,-1.6116,-0.1247,0.5004,8
"8609",8609,"FIRE"," STIM"," HIGH","6",0.6385,-2.2238,-1.9791,-0.2447,0.5504,8
"8611",8611,"GLOVE"," STIM"," HIGH","6",0.5704,1.966,1.87,0.0959,0.5337,8
"8612",8612,"ANIMAL"," STIM"," HIGH","6",0.65,-0.861,-0.789,-0.0719,0.9674,8
"8615",8615,"ORGAN"," STIM"," HIGH","6",0.5849,3.0268,3.1364,-0.1097,0.5004,8
"8616",8616,"SCAR"," STIM"," HIGH","6",0.6696,-0.6477,-0.9031,0.2554,0.5671,8
"8618",8618,"ARMY"," STIM"," HIGH","6",0.6071,-1.6184,-1.5397,-0.0787,0.6505,8
"8619",8619,"SNORT"," STIM"," LOW","6",0.5957,-0.0404,-0.0512,0.0109,0.9674,8
"8625",8625,"UNJUST"," STIM"," LOW","6",0.5247,-0.6383,-0.6854,0.0471,0.9674,8
"8626",8626,"EMPTY"," STIM"," LOW","6",0.5672,-2.3152,-2.6135,0.2983,0.5671,8
"8627",8627,"DAMSEL"," STIM"," HIGH","6",0.586,0.649,0.6646,-0.0155,0.5671,8
"8628",8628,"ARID"," STIM"," LOW","6",0.5402,-0.0792,0.0104,-0.0896,1.3677,8
"8630",8630,"SERIES"," STIM"," LOW","6",0.5359,0.65,1.1163,-0.4663,0.5171,8
"8632",8632,"PRIEST"," STIM"," HIGH","6",0.5404,2.0351,1.8942,0.141,0.4003,8
"8633",8633,"BYRE"," STIM"," LOW","6",0.5643,-0.4606,-0.3461,-0.1145,0.5671,8
"8634",8634,"POLITE"," STIM"," LOW","6",0.6612,-1.2385,-1.2847,0.0463,0.6171,8
"8638",8638,"LAWN"," STIM"," HIGH","6",0.6085,-0.6512,-0.489,-0.1621,0.4503,8
"8639",8639,"POCKET"," STIM"," HIGH","6",0.553,-2.6443,-2.6117,-0.0326,0.5671,8
"8641",8641,"TALES"," STIM"," LOW","6",1.0887,2.9066,2.9301,-0.0236,0.4503,8
"8642",8642,"CAUCUS"," STIM"," LOW","6",0.5574,-1.5022,-1.5913,0.0891,0.467,8
"8643",8643,"WEB"," STIM"," HIGH","6",0.5176,-2.685,-2.4209,-0.2641,0.417,8
"8644",8644,"COIF"," STIM"," LOW","6",0.5139,1.5349,1.5556,-0.0207,0.5171,8
"8647",8647,"SUN"," STIM"," HIGH","6",0.566,-2.9402,-2.9093,-0.0309,0.4837,8
"8651",8651,"AMUSE"," STIM"," LOW","6",0.7069,0.1486,0.0827,0.0658,0.7672,8
"8654",8654,"ADAGE"," STIM"," LOW","3",2.4994,2.8028,-0.8347,-2.6457,0.6171,8
"8657",8657,"CLEVER"," STIM"," LOW","6",0.8685,1.8617,1.9551,-0.0933,0.5838,8
"8659",8659,"DESK"," STIM"," HIGH","6",0.6384,2.2416,2.2915,-0.0499,0.6505,8
"8660",8660,"IDIOM"," STIM"," LOW","6",0.5871,0.0048,-0.0156,0.0204,0.5337,8
"8661",8661,"TOWN"," STIM"," HIGH","6",2.164,-1.0345,-1.1095,0.0749,0.6505,8
"8664",8664,"PROXY"," STIM"," LOW","6",0.612,-0.8341,-0.9189,0.0849,0.6505,8
"8665",8665,"HOUSE"," STIM"," HIGH","6",3.8002,-3.132,2.7834,0.3677,0.5504,8
"8666",8666,"PEEK"," STIM"," LOW","6",0.5453,1.1915,1.2392,-0.0477,0.7339,8
"8668",8668,"FAULT"," STIM"," LOW","6",0.8042,2.2209,2.5808,-0.3599,1.2676,8
"8670",8670,"BITTER"," STIM"," LOW","6",0.585,-2.6755,-2.7234,0.0479,0.7339,8
"8673",8673,"TIE"," STIM"," HIGH","6",0.5652,-2.0065,-2.2536,0.2471,0.6005,8
"8674",8674,"CAMERA"," STIM"," HIGH","6",0.6142,-1.8123,-1.9387,0.1264,0.834,8
"8678",8678,"TUNNEL"," STIM"," HIGH","6",0.6192,1.5008,1.5865,-0.0857,0.6005,8
"8679",8679,"VOLUME"," STIM"," LOW","6",0.632,2.7441,2.5086,0.2355,0.5838,8
"8685",8685,"OIL"," STIM"," HIGH","6",0.5905,-1.1142,-1.0727,-0.0415,0.7839,8
"8686",8686,"COUNT"," STIM"," LOW","6",0.4688,-0.9875,-0.9511,-0.0364,2.6187,8
"8687",8687,"CAUSE"," STIM"," LOW","6",0.5475,1.3447,1.6746,-0.3299,0.5671,8
"8688",8688,"RODE"," STIM"," LOW","6",0.4041,1.2789,0.5288,0.7501,0.3836,8
"8692",8692,"THEN"," STIM"," LOW","6",0.6123,1.0659,0.8887,0.1771,0.3503,8
"8693",8693,"SHOCK"," STIM"," LOW","6",0.6115,0.858,0.8257,0.0324,2.0682,8
"8694",8694,"CHAIN"," STIM"," HIGH","6",0.5753,-0.277,-0.6372,0.3603,3.1691,8
"8695",8695,"BOOT"," STIM"," HIGH","6",0.4955,2.3572,2.3048,0.0524,0.7506,8
"8696",8696,"STAY"," STIM"," LOW","6",0.5626,2.136,0.3683,1.7677,1.3677,8
"8700",8700,"HATE"," STIM"," LOW","1",0.5584,0.5752,3.1366,-2.5614,3.9697,8
"8702",8702,"REMARK"," STIM"," LOW","6",0.644,0.8847,-1.5914,2.4761,1.1008,8
"8703",8703,"MOLE"," STIM"," HIGH","6",0.4968,1.986,0.7065,1.2794,0.2002,8
"8705",8705,"COME"," STIM"," LOW","3",1.2746,-1.0705,0.5229,-1.5935,0.2168,8
"8708",8708,"STREET"," STIM"," HIGH","1",0.8578,-0.8143,-0.1594,-0.6549,0.2502,8
"8710",8710,"RUST"," STIM"," HIGH","6",0.6784,-1.9708,-2.0183,0.0476,0.4837,8
"8713",8713,"DEVICE"," STIM"," LOW","6",0.6175,-1.5282,2.1409,2.614,0.4337,8
"8716",8716,"TELL"," STIM"," LOW","1",0.7602,-1.4828,0.1913,-1.6742,0.2002,8
"8717",8717,"WIG"," STIM"," HIGH","6",0.573,-2.1135,-2.2772,0.1638,0.417,8
"8718",8718,"SINCE"," STIM"," LOW","1",0.7255,2.8027,2.764,0.0387,0.5838,8
"8720",8720,"MINK"," STIM"," HIGH","6",0.6471,2.167,0.9799,1.187,0.6005,8
"8724",8724,"LEASE"," STIM"," LOW","6",0.7591,-2.2036,1.8301,2.2495,0.3169,8
"8727",8727,"CALIX"," STIM"," LOW","6",0.7174,0.1584,0.4254,-0.267,0.8506,8
"8729",8729,"LIQUOR"," STIM"," HIGH","6",0.4835,0.0687,0.0312,0.0375,0.5671,8
"8731",8731,"BOOK"," STIM"," HIGH","6",0.5352,-1.1599,-2.039,0.8791,1.8514,8
"8733",8733,"CANAL"," STIM"," HIGH","6",0.9435,-0.8624,2.2616,-3.124,0.5004,8
"8735",8735,"HARE"," STIM"," HIGH","6",0.6421,0.1959,0.5679,-0.372,0.4837,8
"8736",8736,"QUAICH"," STIM"," LOW","6",0.5777,-0.665,-0.6927,0.0277,0.7005,8
"8737",8737,"BAY"," STIM"," HIGH","6",0.6057,2.8786,2.6871,0.1915,0.4503,8
"8738",8738,"SPADE"," STIM"," HIGH","6",0.5364,-1.6033,-1.4787,-0.1246,0.5004,8
"8739",8739,"ORGAN"," STIM"," HIGH","6",0.5666,-2.0624,-2.235,0.1726,0.6338,8
"8746",8746,"SURE"," STIM"," LOW","6",0.7301,-1.7564,-1.9072,0.1508,0.9507,8
"8747",8747,"DRUG"," STIM"," HIGH","6",0.5419,2.892,2.7476,0.1444,0.5504,8
"8748",8748,"WHICH"," STIM"," LOW","6",0.5764,1.978,0.5136,1.4644,0.1168,8
"8749",8749,"HEAD"," STIM"," HIGH","6",0.5432,0.5866,-1.8146,2.4012,0.4837,8
"8750",8750,"WOOD"," STIM"," HIGH","6",0.5389,-1.1141,-1.1003,-0.0138,0.7506,8
"8751",8751,"AMPERE"," STIM"," LOW","6",0.6176,0.9947,1.1348,-0.1401,0.6171,8
"8753",8753,"ARMY"," STIM"," HIGH","6",0.4738,-2.7688,-2.9452,0.1764,0.7339,8
"8756",8756,"PROOF"," STIM"," LOW","1",0.721,1.9939,2.0181,-0.0242,0.6338,8
"8757",8757,"WOE"," STIM"," LOW","6",0.5265,2.6781,2.6547,0.0234,0.3169,8
"8759",8759,"COFFEE"," STIM"," HIGH","6",0.5529,1.2637,1.257,0.0066,0.7672,8
"8761",8761,"HIGHER"," STIM"," LOW","6",1.1219,-3.1397,3.1102,0.0333,0.6505,8
"8762",8762,"SENSE"," STIM"," LOW","6",0.4931,-3.0463,3.0957,0.1411,1.2676,8
"8764",8764,"PYTHON"," STIM"," HIGH","6",0.5072,1.2462,1.1932,0.053,0.6505,8
"8765",8765,"EXCUSE"," STIM"," LOW","6",0.6275,-1.3493,-1.3018,-0.0475,0.5337,8
"8766",8766,"HEEL"," STIM"," HIGH","6",0.6113,2.8837,2.8941,-0.0104,0.5337,8
"8767",8767,"TAME"," STIM"," LOW","6",0.9382,-1.719,0.4773,-2.1964,1.4011,8
"8770",8770,"SORROW"," STIM"," LOW","6",0.7131,-1.7457,-2.1316,0.3859,0.6171,8
"8774",8774,"HUMOUR"," STIM"," LOW","6",1.8388,-1.1981,-1.1932,-0.005,0.6839,8
"8775",8775,"PEWIT"," STIM"," LOW","6",0.6847,-1.72,-1.4792,-0.2408,0.5004,8
"8779",8779,"CROWN"," STIM"," HIGH","6",0.5807,2.0476,1.878,0.1697,0.5838,8
"8783",8783,"VIOLIN"," STIM"," HIGH","6",0.5263,-0.6692,-0.5553,-0.1139,1.251,8
"8784",8784,"INDIAN"," STIM"," HIGH","6",0.5614,-0.671,-0.7854,0.1144,0.7839,8
"8785",8785,"TOAD"," STIM"," HIGH","6",0.4998,0.0091,-0.0666,0.0757,0.7839,8
"8786",8786,"SOCK"," STIM"," HIGH","6",0.578,-0.3601,-0.6341,0.2741,0.5838,8
"8790",8790,"CLEAR"," STIM"," LOW","6",0.6216,0.4688,0.3448,0.124,1.1008,8
"8792",8792,"LAMB"," STIM"," HIGH","6",0.5548,1.1165,1.1235,-0.007,0.9674,8
"8793",8793,"REFLEX"," STIM"," LOW","6",0.5825,0.9452,1.1161,-0.1709,1.3177,8
"8794",8794,"DITCH"," STIM"," HIGH","6",1.1467,-1.2881,-1.1209,-0.1672,1.0174,8
"8798",8798,"UP"," STIM"," LOW","6",0.5783,-3.0488,-3.0648,0.0161,0.3503,8
"8799",8799,"MAST"," STIM"," HIGH","6",0.571,-3.0003,-3.0321,0.0317,0.9007,8
"8801",8801,"LEMON"," STIM"," HIGH","6",0.8856,-1.7711,-1.9138,0.1427,0.6171,8
"8802",8802,"EAR"," STIM"," HIGH","6",0.5226,2.1699,2.1051,0.0647,0.6338,8
"8804",8804,"SPEAR"," STIM"," HIGH","6",0.5053,-1.0749,-0.7671,-0.3078,0.5337,8
"8810",8810,"JOLT"," STIM"," LOW","6",1.3367,-1.6547,-1.5249,-0.1298,0.7005,8
"8811",8811,"FLAIR"," STIM"," LOW","6",0.6695,-0.8034,-0.7169,-0.0865,0.8173,8
"8812",8812,"BEET"," STIM"," HIGH","6",0.5528,-2.2705,-2.3598,0.0893,0.5004,8
"8813",8813,"HEART"," STIM"," HIGH","6",0.5812,1.1772,1.1845,-0.0073,0.4837,8
"8816",8816,"DRAB"," STIM"," LOW","6",0.5017,0.204,0.5022,-0.2981,0.3336,8
"8817",8817,"VEST"," STIM"," HIGH","6",0.5136,0.8155,1.0232,-0.2077,0.5671,8
"8818",8818,"RELIEF"," STIM"," LOW","3",1.7364,-0.8745,3.0542,2.3545,0.467,8
"8822",8822,"HARP"," STIM"," HIGH","6",0.7322,-2.9084,-2.699,-0.2095,0.6672,8
"8824",8824,"ADDER"," STIM"," HIGH","6",0.5394,-2.9666,-2.9381,-0.0285,0.7673,8
"8826",8826,"ATE"," STIM"," LOW","6",0.5274,-2.682,-2.4739,-0.2081,0.4837,8
"8827",8827,"WOMAN"," STIM"," HIGH","6",0.5262,-1.6436,-1.4991,-0.1445,0.9174,8
"8828",8828,"SO"," STIM"," LOW","6",0.7458,-1.7942,-1.8603,0.0661,0.5838,8
"8831",8831,"GREEDY"," STIM"," LOW","6",0.6677,-0.4544,-0.1933,-0.2611,2.235,8
"8835",8835,"SEAL"," STIM"," HIGH","6",0.7041,1.2506,0.977,0.2735,1.0341,8
"8836",8836,"POND"," STIM"," HIGH","6",0.6431,-0.9647,-1.0161,0.0513,1.6346,8
"8837",8837,"BIT"," STIM"," LOW","6",0.545,0.7565,0.5483,0.2082,0.3836,8
"8840",8840,"BEER"," STIM"," HIGH","6",0.681,-1.7889,-1.6215,-0.1674,0.834,8
"8842",8842,"RUM"," STIM"," HIGH","6",0.4907,0.0696,0.0102,0.0594,0.6672,8
"8845",8845,"NOPE"," STIM"," LOW","6",0.5482,1.35,1.3867,-0.0367,0.5838,8
"8847",8847,"TERM"," STIM"," LOW","6",0.6908,-1.1562,-1.2925,0.1363,0.5004,8
"8848",8848,"SHEET"," STIM"," HIGH","6",0.5068,0.337,0.5575,-0.2205,0.4837,8
"8850",8850,"INNATE"," STIM"," LOW","6",0.5702,-0.5062,0.5071,-1.0133,0.7005,8
"8853",8853,"AS"," STIM"," LOW","6",1.0963,-1.2429,2.5896,2.4507,0.2669,8
"8854",8854,"ROSE"," STIM"," HIGH","6",0.5427,0.3086,0.2101,0.0986,0.5004,8
