"","X","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"255",255,"MARKET"," STIM"," HIGH","1",0.8677,-0.3495,1.114,-1.4635,0.7506,1
"257",257,"SALOON"," STIM"," HIGH","1",1.0528,0.8378,-0.4275,1.2653,1.0675,1
"258",258,"WOMAN"," STIM"," HIGH","6",0.7635,-3.0593,1.0269,2.197,0.4503,1
"259",259,"DOG"," STIM"," HIGH","1",0.7946,2.3546,-1.5355,-2.3931,0.5337,1
"260",260,"BRICK"," STIM"," HIGH","6",0.9606,-0.507,-2.2363,1.7293,0.3336,1
"261",261,"TOLL"," STIM"," LOW","1",1.0763,0.8175,-0.1733,0.9908,0.9674,1
"263",263,"BIN"," STIM"," HIGH","6",1.6165,0.5665,0.8433,-0.2768,0.3002,1
"265",265,"LIKEN"," STIM"," LOW","6",0.9407,2.6233,-0.5198,-3.1401,0.3002,1
"267",267,"BALL"," STIM"," HIGH","1",0.7579,-0.4757,-2.6569,2.1812,0.5171,1
"269",269,"GRACE"," STIM"," LOW","1",0.9689,-0.8141,2.5033,2.9658,0.5671,1
"271",271,"PLANT"," STIM"," HIGH","1",0.7032,-1.9048,-1.7359,-0.1688,0.3169,1
"272",272,"BRAIN"," STIM"," HIGH","1",2.2829,1.9512,2.6086,-0.6574,0.3836,1
"274",274,"HARP"," STIM"," HIGH","1",0.7883,-2.0821,0.1769,-2.2589,0.2335,1
"277",277,"PALACE"," STIM"," HIGH","1",0.5674,0.924,-2.5207,-2.8384,0.467,1
"278",278,"BOND"," STIM"," LOW","6",1.0794,-1.6899,-0.0607,-1.6292,0.3336,1
"282",282,"THANE"," STIM"," LOW","6",1.4135,2.3602,-3.0198,-0.9032,0.4837,1
"288",288,"TALUK"," STIM"," LOW","6",0.7621,-0.9284,2.244,3.1108,0.3503,1
"289",289,"BIT"," STIM"," LOW","6",0.7639,0.8638,-0.712,1.5758,0.3336,1
"291",291,"GEESE"," STIM"," HIGH","1",1.0118,2.5102,-1.2254,-2.5476,0.467,1
"292",292,"RESCUE"," STIM"," LOW","6",0.9018,3.127,-2.1904,-0.9657,0.3669,1
"294",294,"BUBAL"," STIM"," LOW","1",0.6596,1.2147,2.2675,-1.0529,0.2669,1
"295",295,"GROCER"," STIM"," HIGH","1",2.4473,-1.0353,1.9707,-3.006,0.3503,1
"296",296,"ENOUGH"," STIM"," LOW","1",0.5957,-1.4813,-2.4772,0.9959,0.3669,1
"298",298,"CORPSE"," STIM"," HIGH","6",0.8451,0.7954,-1.5446,2.34,0.5004,1
"299",299,"MOSS"," STIM"," HIGH","6",0.5715,1.2036,1.0854,0.1182,0.4003,1
"302",302,"LIQUOR"," STIM"," HIGH","1",0.6395,-0.4922,-0.4636,-0.0286,0.417,1
"304",304,"RARITY"," STIM"," LOW","1",0.7614,0.66,-2.1335,2.7934,0.4003,1
"305",305,"ROOM"," STIM"," HIGH","1",0.8349,-0.9527,2.0992,-3.0519,0.3336,1
"307",307,"BODY"," STIM"," HIGH","1",0.6621,1.5729,1.0229,0.55,0.4503,1
"308",308,"AURAL"," STIM"," LOW","1",0.5954,-0.9788,1.1506,-2.1294,0.4337,1
"309",309,"IRIS"," STIM"," HIGH","6",1.18,-2.3025,2.3526,1.628,0.4337,1
"312",312,"BLEAK"," STIM"," LOW","6",0.6684,3.0504,3.126,-0.0755,1.4678,1
"315",315,"ROOF"," STIM"," HIGH","6",0.6661,-2.0236,-0.408,-1.6156,0.5671,1
"316",316,"JARGON"," STIM"," LOW","1",0.8211,3.0139,-0.5116,-2.7577,0.3836,1
"319",319,"LAND"," STIM"," HIGH","6",0.8414,0.7986,3.0557,-2.257,0.4003,1
"322",322,"SEAT"," STIM"," HIGH","1",0.8293,-1.8894,-0.3564,-1.533,0.2502,1
"326",326,"BLOUSE"," STIM"," HIGH","6",0.6461,1.8902,3.0568,-1.1665,0.417,1
"327",327,"KISS"," STIM"," HIGH","6",1.4194,-3.0492,-1.8563,-1.193,0.2168,1
"328",328,"FISH"," STIM"," HIGH","1",0.5063,0.3601,-2.24,2.6001,0.1835,1
"330",330,"LAWYER"," STIM"," HIGH","6",0.7982,1.9563,2.4562,-0.4999,0.9841,1
"334",334,"PSALM"," STIM"," LOW","6",0.5895,1.9735,0.7378,1.2357,0.3169,1
"336",336,"EFFECT"," STIM"," LOW","1",0.7422,-2.1245,0.6039,-2.7284,0.417,1
"338",338,"AWAY"," STIM"," LOW","6",0.6509,2.231,-0.1624,2.3933,1.2343,1
"339",339,"IGNORE"," STIM"," LOW","6",1.0987,-2.199,-0.1463,-2.0527,0.3002,1
"340",340,"BEAVER"," STIM"," HIGH","6",0.817,1.4351,3.0167,-1.5816,0.467,1
"341",341,"NEXT"," STIM"," LOW","1",1.8536,-2.9631,-0.3992,-2.5638,0.3669,1
"342",342,"POCKET"," STIM"," HIGH","1",1.4909,-1.804,2.9432,1.536,0.3169,1
"343",343,"DAMSEL"," STIM"," HIGH","6",1.3701,1.7957,1.0772,0.7185,0.4503,1
"345",345,"BOTH"," STIM"," LOW","6",1.1024,0.9822,2.9207,-1.9385,1.0008,1
"346",346,"THREAD"," STIM"," HIGH","6",0.9038,-1.7393,-0.7789,-0.9603,0.3503,1
"348",348,"FEE"," STIM"," LOW","6",0.8733,0.7407,-2.1025,2.8432,0.1501,1
"355",355,"HOTEL"," STIM"," HIGH","2",0.7065,0.2703,2.4324,-2.1621,0.2502,1
"356",356,"WHY"," STIM"," LOW","6",0.9575,0.2893,1.1025,-0.8132,0.6505,1
"357",357,"WANDER"," STIM"," LOW","6",1.0107,1.0692,-2.1574,-3.0566,0.2168,1
"359",359,"YARD"," STIM"," HIGH","6",1.0839,-1.1235,-2.1845,1.061,0.4003,1
"363",363,"KEPT"," STIM"," LOW","1",0.8543,1.3022,-0.852,2.1542,0.3336,1
"364",364,"POMMEL"," STIM"," LOW","6",0.8688,2.7654,1.2292,1.5362,0.4337,1
"365",365,"CRAB"," STIM"," HIGH","1",0.5702,-0.1034,-0.8858,0.7824,0.3503,1
"367",367,"EXTRA"," STIM"," LOW","6",2.3174,0.755,-2.0541,2.8091,0.3503,1
"370",370,"HEART"," STIM"," HIGH","1",2.1499,-2.5579,0,-2.5579,0.1501,1
"371",371,"ADDER"," STIM"," HIGH","1",0.582,1.7476,1.0458,0.7018,0.3669,1
"372",372,"COAT"," STIM"," HIGH","1",1.3581,2.8066,0.5191,2.2874,0.5171,1
"373",373,"MISTER"," STIM"," LOW","1",1.2189,-0.3486,-2.1713,1.8227,0.2502,1
"375",375,"TENT"," STIM"," HIGH","6",0.5262,-1.8716,-3.0518,1.1802,0.2836,1
"376",376,"PIECE"," STIM"," LOW","6",1.0168,1.4691,2.4684,-0.9993,0.3002,1
"381",381,"STOOL"," STIM"," HIGH","6",2.1372,0.7065,-2.4034,3.1099,0.4837,1
