word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
TIDY, FOIL, LOW, 1, 0.9911, NA, NA, NA, NA
LAKE, FOIL, HIGH, 1, 0.9977, NA, NA, NA, NA
CHARM, FOIL, LOW, 1, 0.8970, NA, NA, NA, NA
RITUAL, FOIL, LOW, 1, 1.1109, NA, NA, NA, NA
BABY, STIM, HIGH, 6, 1.0437, -1.9068, -1.9974, 0.0907, 0.8340
MULE, STIM, HIGH, 4, 1.8785, -0.4672, 3.1057, 2.7103, 1.3677
DRINK, STIM, HIGH, 6, 1.0030, 3.0016, 2.7968, 0.2047, 0.6338
BATTLE, STIM, HIGH, 6, 1.3560, 0.0214, -0.0258, 0.0472, 0.7506
AND, STIM, LOW, 6, 1.1420, 1.9523, 1.9057, 0.0466, 0.8173
DISC, FOIL, HIGH, 1, 1.1350, NA, NA, NA, NA
FROST, FOIL, HIGH, 1, 1.1821, NA, NA, NA, NA
BITTER, STIM, LOW, 6, 1.1511, -1.3315, -1.3764, 0.0449, 0.8506
FAULT, STIM, LOW, 3, 1.3701, 0.2735, -3.1000, -2.9097, 1.1676
RARE, FOIL, LOW, 1, 1.1258, NA, NA, NA, NA
COOKIE, FOIL, HIGH, 1, 1.3683, NA, NA, NA, NA
EAR, STIM, HIGH, 6, 0.9928, 1.2445, 1.0581, 0.1864, 0.8173
SUPPER, FOIL, HIGH, 1, 1.2955, NA, NA, NA, NA
WORSE, FOIL, LOW, 1, 1.5776, NA, NA, NA, NA
DESK, FOIL, HIGH, 1, 2.5777, NA, NA, NA, NA
AFTER, FOIL, LOW, 1, 1.0286, NA, NA, NA, NA
WORN, STIM, LOW, 4, 1.2475, 2.0644, 1.8448, 0.2196, 2.3184
HOTEL, FOIL, HIGH, 1, 1.0611, NA, NA, NA, NA
NOUN, STIM, LOW, 6, 1.1303, 0.4068, 0.3582, 0.0487, 0.8673
UPKEEP, STIM, LOW, 6, 1.5158, 0.1320, 0.1933, -0.0613, 0.6505
MISS, FOIL, LOW, 1, 1.7652, NA, NA, NA, NA
PLIERS, STIM, HIGH, 6, 0.9356, -1.2382, -1.1740, -0.0641, 0.8840
FAST, FOIL, LOW, 1, 1.0528, NA, NA, NA, NA
SKIRT, STIM, HIGH, 6, 0.9932, -1.9221, -2.0784, 0.1563, 0.8340
TAPE, STIM, HIGH, 6, 0.9633, 0.1965, 0.2045, -0.0080, 0.7005
SHIELD, STIM, HIGH, 6, 1.0190, -0.4258, -0.3747, -0.0512, 1.0174
BOARD, FOIL, HIGH, 3, 1.1539, NA, NA, NA, NA
HURDLE, STIM, HIGH, 6, 1.0173, 0.9005, 1.0453, -0.1448, 0.8340
SCOUT, FOIL, HIGH, 2, 1.0759, NA, NA, NA, NA
TICKET, STIM, HIGH, 6, 1.0455, 3.1052, -3.1313, -0.0467, 0.6338
TOO, STIM, LOW, 2, 1.3704, 2.9160, -0.0564, 2.9723, 0.8673
AREA, FOIL, LOW, 2, 1.0918, NA, NA, NA, NA
TRASH, FOIL, HIGH, 1, 1.1084, NA, NA, NA, NA
GARLIC, FOIL, HIGH, 1, 1.0136, NA, NA, NA, NA
KINK, STIM, LOW, 6, 0.8983, -0.9962, -0.1186, -0.8776, 0.6505
DAMSEL, STIM, HIGH, 6, 0.7358, -1.6816, -1.5500, -0.1316, 0.9674
MIND, FOIL, LOW, 3, 1.0175, NA, NA, NA, NA
SUCKER, FOIL, LOW, 1, 1.0431, NA, NA, NA, NA
SHAPE, FOIL, LOW, 1, 1.5731, NA, NA, NA, NA
HEIGHT, STIM, LOW, 6, 1.2104, 2.1737, 2.5116, -0.3380, 0.7005
SOON, FOIL, LOW, 1, 1.5890, NA, NA, NA, NA
BEECH, STIM, LOW, 6, 1.0445, 3.0218, 2.8626, 0.1592, 0.6338
CORD, STIM, HIGH, 6, 0.9845, -1.5285, -1.5342, 0.0057, 1.0174
ALLOW, STIM, LOW, 6, 1.0059, -0.1553, -0.0154, -0.1399, 0.5171
DEVICE, FOIL, LOW, 3, 1.4002, NA, NA, NA, NA
ROCK, FOIL, HIGH, 1, 1.0880, NA, NA, NA, NA
NOSE, FOIL, HIGH, 1, 1.0884, NA, NA, NA, NA
EVERY, FOIL, LOW, 4, 1.4685, NA, NA, NA, NA
AGUE, STIM, LOW, 6, 1.6794, -2.9351, -3.0159, 0.0808, 1.4511
THROAT, FOIL, HIGH, 2, 1.3299, NA, NA, NA, NA
EGG, STIM, HIGH, 6, 1.0603, -1.1408, -1.1210, -0.0198, 0.9340
CHOW, STIM, LOW, 6, 0.9792, -0.0076, -0.0104, 0.0028, 0.5838
WHERE, STIM, LOW, 6, 1.0288, 1.9873, 2.0714, -0.0841, 0.8340
RATTLE, FOIL, HIGH, 2, 1.1199, NA, NA, NA, NA
NICETY, FOIL, LOW, 1, 1.6846, NA, NA, NA, NA
NICE, FOIL, LOW, 2, 1.4071, NA, NA, NA, NA
IRONY, FOIL, LOW, 3, 2.1741, NA, NA, NA, NA
WEB, STIM, HIGH, 6, 1.1041, 2.7484, 2.8903, -0.1419, 0.6839
STRAW, STIM, HIGH, 6, 0.9871, 1.9631, 2.0809, -0.1178, 0.8506
DOCTOR, FOIL, HIGH, 1, 1.2746, NA, NA, NA, NA
SCAR, STIM, HIGH, 6, 1.0950, 2.2918, 2.2682, 0.0236, 0.9340
CLUE, STIM, LOW, 6, 0.9310, -2.0939, -2.0730, -0.0209, 1.2510
CLAW, STIM, HIGH, 6, 1.2229, 1.2766, 1.0885, 0.1881, 1.1175
