,condition,recog_rating,recog_RT,target_angle,response_angle,response_error,response_RT,participant
101,2,6,2.1372,0.7065,-2.4034,3.1099,0.4837,1
103,1,6,1.349,-2.9591,2.3232,1.0008,0.3836,1
104,1,1,1.2578,0.9041,0.6908,0.2133,0.2669,1
107,1,1,0.9769,1.5351,-0.7266,2.2617,0.5504,1
1081,1,1,2.6489,-1.9966,0.0435,-2.04,0.3503,1
1101,2,6,0.815,-2.082,-2.1574,0.0753,0.2835,1
1111,2,1,1.054,2.6662,-2.2617,-1.3552,0.5004,1
112,2,6,1.1968,2.0082,0.0621,1.9461,0.4337,1
116,2,1,2.1458,2.9591,-2.5025,-0.8216,0.3169,1
120,2,1,0.4039,1.8113,2.7526,-0.9414,0.4003,1
1211,2,1,2.2891,0.5319,-3.013,-2.7383,0.4337,1
1221,2,1,0.908,-0.5303,2.219,-2.7493,1.0174,1
125,1,6,0.8899,-1.1692,-0.3841,-0.7851,0.3669,1
126,2,1,0.9985,3.0364,-0.5214,-2.7254,0.3336,1
127,1,6,0.757,-0.6138,-0.6572,0.0434,0.3836,1
128,2,6,0.7156,2.9069,2.4041,0.5028,0.467,1
1291,2,1,0.6955,2.3834,2.569,-0.1856,0.9674,1
1311,1,1,2.3908,-0.7307,1.0567,-1.7874,0.7839,1
134,2,6,1.3952,-2.9117,-2.2305,-0.6812,0.467,1
1371,2,1,5.6961,1.3326,-2.6256,-2.3251,0.3336,1
1431,2,6,0.7624,1.0749,2.2844,-1.2095,0.5504,1
145,2,1,1.381,-2.7647,-0.5809,-2.1838,0.2502,1
146,2,1,2.9132,2.3991,2.3529,0.0462,0.3836,1
148,2,6,0.8588,0.036,2.39,-2.354,0.5838,1
150,1,6,0.8345,2.5164,-0.8242,-2.9425,0.3669,1
1521,2,1,0.9017,-1.7618,0.5248,-2.2866,0.3336,1
1531,1,6,0.7528,1.3599,-2.4275,-2.4958,0.6005,1
1571,1,6,1.0014,-2.757,0.7854,2.7407,0.3669,1
1591,2,1,0.8791,-0.7069,-2.3882,1.6813,0.5671,1
162,1,1,0.5895,2.9926,2.4638,0.5288,0.5671,1
163,1,6,1.1189,2.8825,-0.3895,-3.0111,0.3336,1
164,2,1,1.7867,-0.3235,-2.6224,2.299,0.3169,1
1671,2,6,1.7727,-1.6829,2.4021,2.1981,0.6005,1
1691,2,1,1.1295,0.8,0.778,0.022,0.3002,1
170,1,1,1.2949,-2.3916,3.1179,0.7737,0.3336,1
1711,1,6,2.1659,0.6156,0.6269,-0.0113,0.5504,1
172,1,1,1.8427,1.136,-1.9703,3.1063,0.4503,1
1771,1,1,1.4556,1.8102,-0.782,2.5922,0.3169,1
182,1,1,0.9284,0.4056,0.0666,0.339,0.5171,1
1831,1,6,0.5819,1.8139,0.8676,0.9463,0.5004,1
1871,1,1,0.6847,-2.4992,0.4748,-2.974,0.4503,1
1891,1,1,1.2902,-1.7558,2.4522,2.0752,0.467,1
191,2,6,0.6369,-0.0448,-1.8442,1.7994,0.4003,1
192,2,1,0.722,1.9376,-2.3526,-1.993,0.6171,1
1941,1,6,0.7601,2.6089,-0.8105,-2.8638,0.3836,1
1971,2,1,0.5659,-1.9386,-0.0389,-1.8997,0.3336,1
198,2,6,0.5271,2.3365,-0.3852,2.7216,0.2002,1
2011,1,1,1.2755,2.8632,-2.287,-1.133,0.3836,1
203,1,1,0.7242,-2.7219,-0.2274,-2.4945,0.934,1
2061,2,1,0.6459,-2.6265,0.687,2.9698,0.417,1
207,2,6,1.1908,0.4194,2.4346,-2.0152,0.6839,1
215,1,1,0.7972,0.3384,1.8894,-1.551,0.834,1
2171,1,1,1.1788,1.3965,2.7239,-1.3274,0.834,1
219,1,1,0.8298,-1.5583,2.8387,1.8862,0.4837,1
220,1,1,0.7429,-0.2371,-0.0881,-0.149,0.2502,1
221,1,1,2.2874,2.5903,2.5607,0.0296,0.3169,1
2221,2,1,1.2206,-2.0515,-2.1516,0.1,0.3002,1
226,1,6,0.5845,2.6726,2.1899,0.4827,0.4337,1
2291,2,5,0.6069,-1.1512,-0.4915,-0.6598,0.417,1
230,1,6,1.7522,-1.2169,0.9814,-2.1983,0.2669,1
237,1,1,1.7621,-3.0765,0.2606,2.946,0.2835,1
238,2,1,0.5769,-2.299,-2.291,-0.008,0.2835,1
239,2,5,1.0493,0.7362,-1.4783,2.2145,0.3169,1
2401,2,6,0.6226,-1.2171,-0.0605,-1.1565,0.3503,1
2421,2,1,1.0924,0.9856,-0.2425,1.2281,0.6171,1
244,2,6,0.5279,0.5332,2.4583,-1.9251,0.3836,1
2451,1,1,0.7724,0.6251,-1.933,2.5581,0.5504,1
252,1,6,0.7247,2.988,-2.2455,-1.0497,0.0334,1
253,2,1,0.9216,-0.749,-0.9004,0.1513,0.5838,1
256,1,6,0.587,-0.9423,2.177,-3.1193,0.4503,1
2601,2,1,0.7887,2.8993,0.3699,2.5294,0.1168,1
264,1,1,0.608,-1.7217,0.9034,-2.6251,0.4337,1
2651,2,1,0.6371,1.6188,-0.2826,1.9014,0.2335,1
2671,1,1,1.0558,-0.367,-0.6651,0.2981,0.3836,1
268,2,6,1.2597,-1.5532,1.0883,-2.6415,0.1501,1
279,1,6,2.9186,2.6126,3.0123,-0.3997,0.4337,1
1,1,6,1.9518,1.9122,2.2979,-0.3857,0.417,1
282,1,1,0.5637,-1.6567,0.0265,-1.6833,0.3669,1
510,2,1,0.9499,-2.5626,2.2602,1.4604,0.2002,1
6,1,6,0.8713,1.2627,0.4209,0.8418,0.2835,1
910,1,1,0.4184,3.0098,-1.0146,-2.2587,0.4337,1
