"","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"26","ADMIRE"," FOIL"," LOW",1,8.254," NA"," NA"," NA"," NA","p1"
"27","BRUT"," STIM"," LOW",1,0.5889," -0.3222"," -2.4313"," 2.1091"," 0.8173","p1"
"28","PIMPLE"," FOIL"," HIGH",1,0.9557," NA"," NA"," NA"," NA","p1"
"29","ASPECT"," FOIL"," LOW",1,0.5776," NA"," NA"," NA"," NA","p1"
"30","PERIOD"," STIM"," LOW",1,1.993," -2.4184"," -2.2493"," -0.1691"," 0.6839","p1"
"31","MADE"," STIM"," LOW",1,0.7196," 2.4026"," 2.7776"," -0.3751"," 0.5337","p1"
"32","MUG"," STIM"," HIGH",1,1.8029," -2.9629"," -0.8105"," -2.1524"," 1.0341","p1"
"33","SPICE"," FOIL"," HIGH",6,1.9877," NA"," NA"," NA"," NA","p1"
"34","BOARD"," FOIL"," HIGH",1,1.051," NA"," NA"," NA"," NA","p1"
"35","APPEAL"," STIM"," LOW",1,2.358," -2.7914"," 2.5184"," 0.9734"," 0.8173","p1"
"36","BERRY"," STIM"," HIGH",6,1.367," -2.3338"," -2.3387"," 0.0048"," 0.3836","p1"
"37","VETO"," FOIL"," LOW",1,0.96," NA"," NA"," NA"," NA","p1"
"38","GENDER"," FOIL"," LOW",1,2.829," NA"," NA"," NA"," NA","p1"
"39","LINEN"," FOIL"," HIGH",1,0.7344," NA"," NA"," NA"," NA","p1"
"40","FIRM"," FOIL"," LOW",1,0.6914," NA"," NA"," NA"," NA","p1"
"41","STIFLE"," FOIL"," LOW",1,0.8955," NA"," NA"," NA"," NA","p1"
"42","MULE"," STIM"," HIGH",6,1.3532," 1.4162"," 1.0155"," 0.4007"," 0.5504","p1"
"43","INFANT"," FOIL"," HIGH",1,0.7096," NA"," NA"," NA"," NA","p1"
"44","PAT"," FOIL"," LOW",1,0.5587," NA"," NA"," NA"," NA","p1"
"45","YARD"," STIM"," HIGH",6,1.4594," -0.8105"," 3.1210"," 2.3517"," 1.4678","p1"
"46","CHIC"," STIM"," LOW",6,1.3343," 0.5008"," 0.5810"," -0.0802"," 1.0174","p1"
"47","TOY"," FOIL"," HIGH",1,3.874," NA"," NA"," NA"," NA","p1"
"48","BANK"," STIM"," HIGH",6,1.1398," 2.1346"," 2.3634"," -0.2288"," 0.5337","p1"
"49","BRANDY"," FOIL"," HIGH",1,1.1365," NA"," NA"," NA"," NA","p1"
"50","SCHOOL"," STIM"," HIGH",1,3.6359," -1.7011"," -0.7670"," -0.9342"," 0.7172","p1"
"51","TOW"," FOIL"," LOW",1,1.726," NA"," NA"," NA"," NA","p1"
"52","HIM"," STIM"," LOW",6,1.3387," 1.1440"," 0.0196"," 1.1244"," 0.4170","p1"
"53","DUAL"," STIM"," LOW",6,1.3089," -0.8009"," -0.5360"," -0.2649"," 0.5504","p1"
"54","CITY"," FOIL"," HIGH",1,3.36," NA"," NA"," NA"," NA","p1"
