"","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"16282","MOOD"," FOIL"," LOW",1,1.0508," NA"," NA"," NA"," NA","16"
"16283","CHOP"," STIM"," HIGH",6,0.7221," 0.2283"," 0.4327"," -0.2044"," 1.8681","16"
"16284","SPITE"," FOIL"," LOW",1,0.6918," NA"," NA"," NA"," NA","16"
"16285","BOARD"," FOIL"," HIGH",1,0.6615," NA"," NA"," NA"," NA","16"
"16286","EACH"," STIM"," LOW",6,0.5171," 1.0361"," 1.0706"," -0.0346"," 1.4511","16"
"16287","CLOSE"," STIM"," LOW",6,0.7382," 1.7076"," 1.8438"," -0.1362"," 1.0174","16"
"16288","BEEN"," FOIL"," LOW",1,0.7896," NA"," NA"," NA"," NA","16"
"16289","SOON"," FOIL"," LOW",1,0.9319," NA"," NA"," NA"," NA","16"
"16290","THIS"," FOIL"," LOW",1,0.6923," NA"," NA"," NA"," NA","16"
"16291","INNATE"," FOIL"," LOW",1,0.5768," NA"," NA"," NA"," NA","16"
"16292","BORDER"," FOIL"," LOW",1,0.5862," NA"," NA"," NA"," NA","16"
"16293","DOOR"," FOIL"," HIGH",1,0.5203," NA"," NA"," NA"," NA","16"
"16294","GYM"," STIM"," HIGH",6,0.6533," 0.0280"," 0.2362"," -0.2082"," 0.9174","16"
"16295","VIOLIN"," STIM"," HIGH",1,0.9931," -2.1939"," -2.0299"," -0.1639"," 0.9507","16"
"16296","CLIFF"," STIM"," HIGH",6,1.0101," -1.8380"," -2.7751"," 0.9371"," 2.2517","16"
"16297","BUY"," STIM"," LOW",1,0.8782," -1.0125"," -0.4446"," -0.5678"," 1.3010","16"
"16298","BARN"," STIM"," HIGH",6,1.0017," -3.0687"," -3.1002"," 0.0314"," 4.1198","16"
"16299","STRAIN"," STIM"," LOW",6,0.7849," -2.7404"," -2.6254"," -0.1151"," 0.7339","16"
"16300","CUSTOM"," STIM"," LOW",1,1.0837," 0.4730"," 0.1515"," 0.3216"," 0.8340","16"
"16301","PEDAL"," FOIL"," HIGH",1,1.5156," NA"," NA"," NA"," NA","16"
"16302","THUD"," FOIL"," LOW",1,0.5337," NA"," NA"," NA"," NA","16"
"16303","BAR"," FOIL"," HIGH",1,0.6637," NA"," NA"," NA"," NA","16"
"16304","RATING"," STIM"," LOW",1,0.8472," 0.3078"," 0.1729"," 0.1350"," 1.4011","16"
"16305","DOLL"," FOIL"," HIGH",1,0.5495," NA"," NA"," NA"," NA","16"
"16306","SELL"," STIM"," LOW",6,0.5981," -2.1781"," 2.1694"," 1.9357"," 3.6861","16"
"16307","REPORT"," STIM"," LOW",6,2.2477," 1.3549"," -0.2805"," 1.6354"," 0.5004","16"
"16308","SINK"," STIM"," HIGH",6,0.5103," -3.0818"," 0.8694"," 2.3319"," 0.8673","16"
"16309","WAY"," STIM"," LOW",6,1.2564," 1.1553"," 2.8360"," -1.6807"," 0.4503","16"
"16310","AIRY"," STIM"," LOW",6,1.5648," 2.5401"," 0.3011"," 2.2390"," 0.8673","16"
"16311","TUBE"," FOIL"," HIGH",1,1.1346," NA"," NA"," NA"," NA","16"
"16312","COURSE"," FOIL"," LOW",1,0.7997," NA"," NA"," NA"," NA","16"
"16313","SCROLL"," FOIL"," HIGH",1,0.5952," NA"," NA"," NA"," NA","16"
"16314","AMOUNT"," FOIL"," LOW",1,0.6328," NA"," NA"," NA"," NA","16"
"16315","IMPORT"," STIM"," LOW",6,0.5861," -0.2433"," -0.2929"," 0.0496"," 2.1183","16"
"16316","CUT"," STIM"," LOW",6,2.0679," -2.4689"," -2.7861"," 0.3172"," 0.5838","16"
"16317","STAIR"," STIM"," HIGH",6,0.7891," -0.3278"," -2.2345"," 1.9067"," 0.8840","16"
"16318","CHANCE"," STIM"," LOW",6,2.1609," -2.5819"," 2.1309"," 1.5704"," 5.0872","16"
"16319","NUMB"," FOIL"," LOW",1,0.6706," NA"," NA"," NA"," NA","16"
"16320","STARE"," FOIL"," LOW",1,0.75," NA"," NA"," NA"," NA","16"
"16321","AND"," STIM"," LOW",6,2.0904," 0.7178"," 1.3082"," -0.5904"," 1.6513","16"
"16322","SKULL"," STIM"," HIGH",6,0.6549," 2.1928"," -1.8878"," -2.2026"," 3.5694","16"
"16323","BATTLE"," FOIL"," HIGH",1,0.9799," NA"," NA"," NA"," NA","16"
"16324","MOOSE"," FOIL"," HIGH",1,0.544," NA"," NA"," NA"," NA","16"
"16325","BUTTER"," FOIL"," HIGH",1,0.7065," NA"," NA"," NA"," NA","16"
"16326","BRONZE"," STIM"," HIGH",6,0.8933," 2.9400"," 1.7493"," 1.1907"," 0.5171","16"
"16327","FORCE"," STIM"," LOW",6,2.5678," 1.0866"," -0.9494"," 2.0360"," 2.0682","16"
"16328","WEAPON"," STIM"," HIGH",6,1.0329," -1.6376"," -1.2700"," -0.3676"," 0.7005","16"
"16329","DERAY"," FOIL"," LOW",1,2.1183," NA"," NA"," NA"," NA","16"
"16330","BUCKET"," FOIL"," HIGH",1,1.4098," NA"," NA"," NA"," NA","16"
"16331","SANE"," FOIL"," LOW",1,3.8085," NA"," NA"," NA"," NA","16"
"16332","JACKET"," FOIL"," HIGH",1,1.0221," NA"," NA"," NA"," NA","16"
"16333","BORNE"," STIM"," LOW",6,1.2066," -0.1095"," -0.7023"," 0.5928"," 1.2343","16"
"16334","COOL"," STIM"," LOW",6,0.9408," -2.1020"," 1.7857"," 2.3955"," 1.1342","16"
"16335","SCAR"," FOIL"," HIGH",1,0.6091," NA"," NA"," NA"," NA","16"
"16336","AFRAID"," FOIL"," LOW",1,0.5762," NA"," NA"," NA"," NA","16"
"16337","FEAT"," FOIL"," LOW",1,0.5498," NA"," NA"," NA"," NA","16"
"16338","COOKIE"," STIM"," HIGH",6,0.6165," -2.4881"," -2.9261"," 0.4380"," 0.6505","16"
"16339","BEAK"," STIM"," HIGH",6,0.7321," 1.7475"," 2.4874"," -0.7399"," 2.5353","16"
"16340","IS"," STIM"," LOW",6,0.8396," -0.0463"," 2.6849"," -2.7312"," 0.4837","16"
"16341","SIGHT"," STIM"," LOW",6,1.7823," -1.5316"," -0.9453"," -0.5863"," 2.6520","16"
"16342","CLOCK"," FOIL"," HIGH",1,0.7438," NA"," NA"," NA"," NA","16"
"16343","HOARSE"," FOIL"," LOW",1,0.537," NA"," NA"," NA"," NA","16"
"16344","SOCK"," STIM"," HIGH",6,0.9569," -1.4587"," -1.4483"," -0.0103"," 0.9674","16"
"16345","EASY"," FOIL"," LOW",1,0.6604," NA"," NA"," NA"," NA","16"
"16346","SALARY"," STIM"," LOW",1,3.4358," -2.3596"," 2.8659"," 1.0577"," 0.5337","16"
"16347","INFANT"," FOIL"," HIGH",1,0.5425," NA"," NA"," NA"," NA","16"
"16348","WEED"," STIM"," HIGH",6,0.6391," -1.9550"," -1.9764"," 0.0214"," 1.1175","16"
"16349","BEECH"," STIM"," LOW",6,1.8233," -0.7405"," -2.1777"," 1.4371"," 2.9522","16"
"16350","SOAP"," STIM"," HIGH",6,0.6574," -1.6087"," -1.5966"," -0.0122"," 0.6839","16"
"16351","WIDE"," FOIL"," LOW",6,1.2296," NA"," NA"," NA"," NA","16"
"16352","AIM"," FOIL"," LOW",1,0.8516," NA"," NA"," NA"," NA","16"
"16353","SILVER"," STIM"," HIGH",6,0.6768," -1.4873"," -1.1253"," -0.3620"," 0.5671","16"
"16354","GREED"," FOIL"," LOW",1,1.5674," NA"," NA"," NA"," NA","16"
"16355","DOCK"," STIM"," HIGH",6,0.7655," -0.7023"," -0.6783"," -0.0239"," 0.6171","16"
"16356","RISE"," FOIL"," LOW",1,1.3642," NA"," NA"," NA"," NA","16"
"16357","IN"," FOIL"," LOW",1,0.7244," NA"," NA"," NA"," NA","16"
"16358","PICUL"," FOIL"," LOW",1,0.6691," NA"," NA"," NA"," NA","16"
"16359","WOLF"," STIM"," HIGH",6,0.6757," -2.2904"," -1.9970"," -0.2934"," 0.5004","16"
"16360","LED"," STIM"," LOW",6,0.6635," -0.8877"," -0.6731"," -0.2145"," 0.4670","16"
"16361","GYBE"," FOIL"," LOW",1,0.9138," NA"," NA"," NA"," NA","16"
"16362","COIF"," FOIL"," LOW",1,0.5," NA"," NA"," NA"," NA","16"
"16363","TRAIN"," FOIL"," HIGH",1,0.6067," NA"," NA"," NA"," NA","16"
"16364","SOFA"," STIM"," HIGH",6,0.8897," 0.1488"," 0.3120"," -0.1633"," 0.9841","16"
"16365","PHONE"," FOIL"," HIGH",1,0.9937," NA"," NA"," NA"," NA","16"
"16366","GO"," STIM"," LOW",6,0.8821," -1.8457"," -1.9656"," 0.1198"," 1.1342","16"
"16367","MUSCLE"," STIM"," HIGH",6,0.9313," -2.2444"," -2.3924"," 0.1480"," 1.5512","16"
"16368","CULT"," STIM"," LOW",6,0.7161," 1.3378"," 1.3499"," -0.0120"," 1.0508","16"
"16369","PIN"," FOIL"," HIGH",1,0.6221," NA"," NA"," NA"," NA","16"
"16370","THAN"," FOIL"," LOW",1,0.5595," NA"," NA"," NA"," NA","16"
"16371","HEART"," STIM"," HIGH",1,1.8313," 1.2607"," 1.3095"," -0.0489"," 1.0174","16"
"16372","BLOUSE"," STIM"," HIGH",6,0.6125," 1.2749"," 1.1370"," 0.1379"," 1.1509","16"
"16373","GROUP"," STIM"," LOW",6,2.196," 1.0792"," 0.2576"," 0.8217"," 1.3343","16"
"16374","DISC"," FOIL"," HIGH",1,1.1663," NA"," NA"," NA"," NA","16"
"16375","STEAM"," FOIL"," HIGH",1,0.892," NA"," NA"," NA"," NA","16"
"16376","CODE"," FOIL"," LOW",1,0.8808," NA"," NA"," NA"," NA","16"
"16377","HERE"," STIM"," LOW",6,1.081," -2.9902"," 2.8003"," 0.4927"," 0.8006","16"
