WORD                     CNC FAM IMG NLET
LEES                     306 232 271  4   
LEFT                     341 592 383  4   
LENS                     573 519 556  4   
LESS                     266 541 286  4   
LIAR                     409 534 425  4   
LICE                     543 397 532  4   
LIEN                     332 204 317  4   
LIFE                     361 598 482  4   
LIFT                     461 555 482  4   
LIKE                     286 610 352  4   
LILY                     609 437 541  4   
LIMB                     590 526 580  4   
LIME                     590 447 563  4   
LIMN                     275 123 206  4   
LIMP                     481 494 512  4   
LINE                     477 591 491  4   
LINK                     488 474 481  4   
LINT                     537 479 513  4   
LION                     627 511 626  4   
LIRE                     449 261 326  4   
LISP                     429 409 464  4   
LIVE                     436 608 446  4   
LOAD                     439 562 461  4   
LOAN                     372 535 430  4   
LOCK                     565 588 532  4   
LODE                     342 270 363  4   
LONE                     325 464 457  4   
LONG                     381 579 471  4   
LOOK                     376 607 395  4   
LOON                     481 303 348  4   
LOOP                     490 494 492  4   
LOOT                     542 470 579  4   
LORD                     409 518 482  4   
LOSE                     299 534 373  4   
LOSS                     313 558 409  4   
LOUD                     413 577 448  4   
LOVE                     311 619 569  4   
LUCK                     275 587 399  4   
LUMP                     542 501 546  4   
LUNE                     328 160 252  4   
LUNG                     569 546 576  4   
LURE                     422 451 389  4   
LUST                     324 472 444  4   
LUTE                     509 287 429  4   
LYNX                     568 301 461  4   
LYRE                     538 288 426  4   
MADE                     327 579 351  4   
MAIL                     508 554 548  4   
MAIN                     324 574 309  4   
MAKE                     299 618 322  4   
MALE                     564 588 587  4   
MALL                     459 330 383  4   
MANE                     554 416 528  4   
MANY                     276 599 393  4   
MARE                     549 460 529  4   
MARK                     464 533 434  4   
MARL                     394 185 186  4   
MASH                     418 481 472  4   
MASS                     397 473 484  4   
MAST                     576 427 558  4   
MATE                     507 553 506  4   
MATH                     386 548 487  4   
MAZE                     528 434 555  4   
MEAL                     602 603 573  4   
MEAN                     313 539 419  4   
MEAT                     587 589 618  4   
MEEK                     299 470 392  4   
MEET                     341 575 438  4   
MELT                     413 521 461  4   
MENU                     555 550 613  4   
MICA                     474 253 397  4   
MIEN                     283 143 253  4   
MILD                     330 556 359  4   
MILE                     460 568 511  4   
MILK                     670 588 638  4   
MIND                     333 591 373  4   
MINE                     452 557 522  4   
MINK                     589 524 604  4   
MISS                     372 586 447  4   
MIST                     497 499 637  4   
MITE                     463 291 387  4   
MOAN                     379 510 475  4   
MOAT                     509 443 497  4   
MOLD                     486 503 454  4   
MOLE                     590 484 567  4   
MONK                     570 401 606  4   
MOOD                     234 541 394  4   
MOON                     581 585 585  4   
MORE                     284 612 264  4   
MOSS                     575 436 569  4   
MOST                     321 560 306  4   
MOTE                     397 323 438  4   
MOTH                     550 496 577  4   
MOVE                     390 572 413  4   
MUCH                     242 584 332  4   
MULE                     592 455 608  4   
MUST                     297 589 247  4   
MYTH                     334 514 359  4   
NAIL                     598 563 588  4   
NAME                     405 573 475  4   
NAVE                     402 203 282  4   
NAVY                     472 465 562  4   
NEAR                     337 582 408  4   
NEAT                     314 528 495  4   
NECK                     587 576 622  4   
NEED                     314 589 327  4   
NEST                     557 521 571  4   
NEWS                     437 560 484  4   
NEWT                     606 335 472  4   
NEXT                     262 548 386  4   
NICE                     279 583 375  4   
NINE                     452 571 494  4   
NOEL                     363 409 463  4   
NOLL                     401 221 297  4   
NONE                     288 569 425  4   
NOPE                     270 481 315  4   
NOSE                     628 584 605  4   
NOTE                     525 594 503  4   
NOUN                     387 518 368  4   
NUMB                     379 487 477  4   
OATH                     331 402 443  4   
OBOE                     586 325 471  4   
OKAY                     245 555 269  4   
OMEN                     319 394 413  4   
ONCE                     315 539 322  4   
ONLY                     218 600 255  4   
OPAL                     533 418 490  4   
OPEN                     381 581 425  4   
OVEN                     593 577 599  4   
OVER                     287 589 327  4   
PACT                     372 361 364  4   
PAGE                     571 603 555  4   
PAID                     386 577 429  4   
PAIL                     538 453 508  4   
PAIN                     426 569 502  4   
PAIR                     377 544 480  4   
PALE                     385 499 532  4   
PALL                     362 274 271  4   
PALM                     596 515 555  4   
PANE                     506 395 410  4   
PARE                     361 335 392  4   
PARK                     579 571 573  4   
PART                     339 579 340  4   
PASS                     385 535 479  4   
PAST                     293 545 446  4   
PATH                     504 531 537  4   
PAUL                     524 486 440  4   
PAWN                     480 477 479  4   
PEAL                     402 451 433  4   
PEAR                     634 567 590  4   
PECK                     432 471 494  4   
PEEK                     411 469 446  4   
PEEL                     432 507 436  4   
PEEP                     388 418 437  4   
PEER                     406 460 376  4   
PELT                     526 371 517  4   
PEON                     440 365 455  4   
PESO                     520 318 463  4   
PEST                     479 482 445  4   
PICK                     502 524 513  4   
PIER                     588 436 545  4   
PILE                     504 521 513  4   
PILL                     610 556 580  4   
PINE                     592 557 617  4   
PINT                     483 536 487  4   
PIPE                     602 535 598  4   
PITY                     303 516 391  4   
PLAN                     357 571 379  4   
PLAY                     468 586 498  4   
PLEA                     308 478 347  4   
PLOT                     379 515 420  4   
PLUG                     558 575 583  4   
PLUM                     632 547 611  4   
POET                     552 544 518  4   
POLE                     577 510 579  4   
POLL                     429 453 488  4   
POLO                     495 446 524  4   
POND                     623 506 599  4   
PONY                     611 524 642  4   
POOL                     573 541 577  4   
POOR                     311 548 447  4   
POPE                     593 489 576  4   
PORE                     492 437 447  4   
PORK                     585 538 522  4   
PORT                     531 481 546  4   
POST                     533 586 518  4   
POUR                     356 545 495  4   
PRAY                     372 528 444  4   
PREY                     464 443 500  4   
PROP                     474 444 450  4   
PROW                     485 252 307  4   
PUCK                     472 281 370  4   
PULL                     360 565 446  4   
PUMP                     556 497 556  4   
PUNY                     327 426 395  4   
PURL                     313 166 310  4   
RACE                     463 543 457  4   
RACK                     535 486 439  4   
RAID                     407 487 476  4   
RAIL                     540 505 556  4   
RAIN                     600 604 618  4   
RAKE                     597 476 550  4   
RAMP                     538 504 527  4   
RAPE                     472 555 565  4   
RARE                     327 559 439  4   
RASH                     523 485 520  4   
RATE                     308 527 311  4   
RAZE                     336 281 271  4   
READ                     420 568 499  4   
REAL                     285 596 313  4   
REAP                     373 441 408  4   
REAR                     402 547 455  4   
REED                     564 430 520  4   
REEL                     502 456 487  4   
REIN                     537 440 478  4   
RENT                     437 547 469  4   
REST                     351 590 396  4   
RICE                     608 548 506  4   
RICH                     377 575 467  4   
RICK                     474 223 275  4   
RIDE                     424 576 483  4   
RING                     593 589 601  4   
RIOT                     414 490 548  4   
RIPE                     360 534 490  4   
RISE                     368 546 451  4   
RISK                     290 517 405  4   
RITE                     381 400 353  4   
ROAD                     583 604 609  4   
ROAR                     437 471 526  4   
ROCK                     600 583 612  4   
RODE                     353 496 451  4   
ROLE                     335 524 385  4   
ROLL                     457 547 496  4   
ROOF                     586 552 604  4   
ROOM                     566 627 545  4   
ROOT                     558 554 565  4   
ROPE                     608 539 596  4   
ROSE                     608 556 623  4   
ROTE                     295 249 264  4   
RUBY                     594 445 562  4   
RUFF                     358 329 327  4   
RULE                     286 534 415  4   
RUNG                     532 423 480  4   
RUSH                     350 546 404  4   
RUST                     553 484 547  4   
SACK                     582 539 548  4   
SAFE                     376 531 474  4   
SAGA                     366 388 345  4   
SAGE                     462 424 434  4   
SAID                     306 600 313  4   
SAIL                     567 504 597  4   
SALE                     364 555 422  4   
SALT                     594 612 570  4   
SAME                     248 569 326  4   
SAND                     616 519 603  4   
SANE                     290 508 364  4   
SASH                     540 385 488  4   
SAVE                     314 559 365  4   
SCAB                     559 524 573  4   
SCAR                     552 529 565  4   
SEAL                     587 482 563  4   
SEAM                     538 547 555  4   
SEAR                     292 316 299  4   
SEAT                     568 597 574  4   
SEED                     611 514 542  4   
SEEK                     375 506 335  4   
SEEL                     417 301 341  4   
SEEM                     226 549 249  4   
SEEN                     336 576 351  4   
SEER                     370 253 309  4   
SELF                     459 604 466  4   
SELL                     342 585 397  4   
SEND                     324 529 423  4   
SENT                     292 523 386  4   
SERF                     507 364 500  4   
SHED                     611 524 602  4   
SHIP                     615 553 612  4   
SHOE                     600 569 601  4   
SHOP                     549 615 561  4   
SHOT                     467 531 535  4   
SHOW                     402 559 424  4   
SICK                     404 571 456  4   
SIDE                     394 566 386  4   
SIGH                     380 518 440  4   
SIGN                     520 543 534  4   
SILK                     538 482 510  4   
SINE                     319 353 377  4   
SING                     421 576 527  4   
SINK                     590 586 599  4   
SITE                     408 507 406  4   
SIZE                     354 566 415  4   
SKIN                     614 591 638  4   
SLAG                     426 310 373  4   
SLAP                     511 521 542  4   
SLAY                     411 481 454  4   
SLIP                     448 537 497  4   
SLIT                     520 487 508  4   
SLOE                     300 185 276  4   
SLOW                     293 602 377  4   
SMUT                     449 330 426  4   
SNAP                     420 526 410  4   
SNOW                     618 615 597  4   
SNUB                     280 386 348  4   
SOAP                     598 594 600  4   
SOAR                     366 496 436  4   
SOCK                     581 578 553  4   
SODA                     600 536 544  4   
SOFA                     629 564 597  4   
SOFT                     414 590 476  4   
SOIL                     581 516 566  4   
SOLD                     310 544 408  4   
SOLE                     484 473 462  4   
SOME                     286 578 302  4   
SONG                     514 603 578  4   
SOON                     261 547 278  4   
SOOT                     563 390 531  4   
SORE                     502 544 486  4   
SOUL                     289 544 366  4   
SOUP                     615 576 604  4   
SOUR                     458 533 495  4   
SPAN                     352 449 381  4   
SPOT                     512 560 507  4   
STAR                     574 574 623  4   
STAY                     329 573 321  4   
